What is a software development life cycle (SDLC)? | A structured process consisting of stages used to plan, develop, test, and deploy software
What is an algorithm? | A set of instructions used to solve a problem
A set of instructions used to solve a problem — what term describes this? | An algorithm
Inputs to an algorithm must be [...] defined | clearly (specifying what is valid and what is invalid)
An algorithm must always produce a valid [...] for any defined input | output
An algorithm must always reach a [...] condition | stopping
Why should an algorithm be well-documented? | For reference, so others can understand its purpose and design
Why should an algorithm be well-commented? | So that modifications can easily be made
Name two qualities related to how an algorithm handles data | Inputs must be clearly defined, and it must be able to deal with invalid inputs
How does extreme programming differ from general agile in team structure? | XP specifically requires pair programming (two programmers) alongside a representative end-user. General agile may use various team structures without mandating pairs
What is a sprint in agile development? | A short time-boxed development period, usually 1-4 weeks, during which a set of features is designed, developed, and tested
What happens during a Sprint Review? | Working software is demonstrated to stakeholders, and feedback is collected to identify changes or improvements
What happens during a Sprint Retrospective? | The team reflects on what went well and what needs improving in the next sprint, focusing on team performance and process optimisation
Why is scope creep a risk in agile and RAD methodologies? | Their flexible, iterative nature may lead to uncontrolled changes in requirements as new feedback continually reshapes the project
