What is a stack? | A FILO (first in, last out) data structure where the last element added is the first to be removed
Breadth-first traversal uses a [...] to track which nodes to visit next | queue
Depth-first traversal uses a [...] to track which nodes to visit next | stack
In a priority queue, items with [...] priority are placed towards the front | higher
When removing a binary tree node with two children, you find the [...] value in the right subtree as a replacement | minimum
A linked list node's data is accessed via node.data and the next node via [...] | node.next
Why must you check isEmpty() before calling pop() on a stack? | Attempting to pop from an empty stack would cause an error because there is no element at the top pointer position (top would be -1, an invalid index)
Why must you check isFull() before calling push() on a stack? | Attempting to push onto a full stack would cause a stack overflow, writing data beyond the allocated array bounds
Why does a linear queue waste memory compared to a circular queue? | In a linear queue, spaces freed by dequeuing at the front cannot be reused because the front pointer only moves forward, leaving unused space behind it
Explain how a circular queue solves the wasted space problem of a linear queue | By using MOD arithmetic to wrap the rear and front pointers back to the beginning of the array, a circular queue can reuse positions that have been dequeued, making full use of the allocated space
Why is a linked list more memory-efficient than an array for dynamic data? | A linked list allocates memory for each node only when needed and can grow/shrink dynamically, whereas an array requires a fixed block of memory allocated in advance regardless of how many elements are actually stored
Why is the top pointer of a stack initialised to -1 rather than 0? | Because index 0 is a valid position for the first element. Initialising to 0 would incorrectly suggest one element exists. Setting top to -1 clearly indicates the stack is empty
Why are both front and rear set to -1 when initialising a circular queue? | Setting both to -1 clearly signals the queue is empty, and allows the first enqueue to correctly set front to 0 while advancing rear
Explain why the push operation increments the top pointer before inserting the element | The top pointer initially points to the current topmost element (or -1 if empty). Incrementing first moves it to the next free position, then the new element is placed there
