What is a network? | Two or more interconnected devices with the ability to transmit data between each other
A device that broadcasts incoming data to all connected devices — what is this? | A hub
Why is a hub less efficient and less secure than a switch? | A hub sends all data to every device, creating unnecessary traffic and allowing all devices to see all data; a switch directs data only to the intended recipient
What is a router? | A device that connects two or more networks together and routes data packets between them using IP addresses
How does a router forward packets? | It reads the destination IP address in the packet header, looks it up in its routing table, and forwards the packet to the appropriate network
What is a hop in networking? | A single pass of a data packet from one router to the next
What is a WAP (Wireless Access Point)? | A device that allows wireless devices to connect to a wired network, often combined with a router to enable internet access
What is a gateway? | A device used when protocols differ between networks — it translates protocols by removing the old header and repackaging the data using the new protocol
How does a gateway enable communication between networks with different protocols? | It removes the header from packets using the old protocol and adds a new header using the protocol of the destination network
What is a modem? | A device (modulator-demodulator) that converts digital signals to analogue and vice versa, enabling data transmission over telephone or cable lines
What does "modem" stand for? | Modulator-demodulator
What is a client-server network? | A network where client terminals connect to a powerful central server that holds important information, resources, and has greater processing power
In a client-server network, what role does the server play? | It hosts, delivers, and manages most resources and services (files, email, web access) to be consumed by the clients
Give two advantages of a client-server network | More secure as data is stored centrally; central backups are performed so individual backups are not needed
Give two disadvantages of a client-server network | Relatively expensive to set up; if the server fails, all terminal functionality is affected (single point of failure)
What is a peer-to-peer network? | A network where all computers share equal responsibility with no central server — each device acts as both a server and a client
In a peer-to-peer network, how do devices function? | Each device acts as both a server and a client, able to both provide and request resources
How does a peer-to-peer network differ from a client-server network? | In peer-to-peer, all machines have equal status with no central server; in client-server, a powerful central server controls the network and serves clients
Give two advantages of a peer-to-peer network | Cheaper to set up; not dependent on a central server, so no single point of failure
Give two disadvantages of a peer-to-peer network | Poorer security due to lack of central control; backups must be performed separately on each machine
Why are peer-to-peer networks associated with piracy? | Because it is almost impossible to trace the origin of files shared across a peer-to-peer network
When would a client-server network be more appropriate than peer-to-peer? | In larger organisations where centralised control, reliability, security, and scalability are important
When would a peer-to-peer network be more appropriate than client-server? | For home networks, small businesses, or specific applications like file sharing where cost and simplicity are priorities
What is an IP address? | A unique identifier for a device on a network, used to deliver packets to the correct destination
What are the two versions of IP addresses in use? | IPv4 (e.g. 104.22.74.202) and IPv6 (e.g. 0000:0000:0000:0000:0000:ffff:6816:4aca)
What is a virus in computing? | Malicious software that attaches itself to a legitimate program or file and replicates to spread to other programs, potentially deleting data or damaging hardware
How does a worm differ from a virus? | A worm is a standalone program that can spread and replicate itself over networks without attaching to another program, whereas a virus must attach to a host file
What is a Trojan horse in computing? | A program that disguises itself as a legitimate application but, when installed, can delete data or damage hardware
What is spyware? | Software that records all key presses and transmits them to a third party
What is ransomware? | Malware that encrypts the user's files and demands a ransom payment to decrypt them
What is adware? | Software that displays unwanted advertisements without the user's consent, some of which may contain spyware or link to viruses
The TCP/IP stack uses [...] layers | four (Application, Transport, Internet, Link)
In packet switching, packets can take [...] routes to reach the destination | different
A MAC address is a [...]-bit value written as a twelve-digit hexadecimal number | 48
The transport layer splits data into packets and labels them with packet number, total packets, and [...] | port number
The [...] layer of the TCP/IP stack is responsible for routing packets using IP addresses | Internet (Network)
