What is a database? | An organised collection of data that allows easy storage, retrieval, and management of information
A standardised method for electronically exchanging business documents between computer systems — what is this? | Electronic Data Interchange (EDI)
What is CSV (Comma Separated Values)? | A simple data exchange format that stores tabular data in plain text, using commas to separate values
A plain text format that stores tabular data using commas as delimiters — what format is this? | CSV (Comma Separated Values)
What is JSON (JavaScript Object Notation)? | A lightweight, human-readable data interchange format that uses key-value pairs, commonly used in web applications
A lightweight data interchange format using key-value pairs, common in web applications — what is this? | JSON (JavaScript Object Notation)
What is an API (Application Programming Interface)? | A set of protocols that allow different software applications to communicate with each other and exchange data
A set of protocols enabling different software applications to communicate and share data — what is this called? | An API (Application Programming Interface)
What does SQL stand for? | Structured Query Language
What type of language is SQL? | A declarative language used to manipulate and interact with relational databases through a DBMS
A declarative programming language used to create, query, and manipulate databases — what language is this? | SQL (Structured Query Language)
What does the SELECT statement do in SQL? | Retrieves (collects) specified fields from a database table
What does the FROM clause do in SQL? | Specifies which table(s) the data should be retrieved from
What does the WHERE clause do in SQL? | Filters results based on a specified condition
What does ORDER BY do in SQL? | Sorts the results in ascending (default) or descending order based on a specified field
How do you sort results in descending order in SQL? | Add DESC after the ORDER BY field, e.g. ORDER BY DatePublished DESC
In SQL, values sorted with ORDER BY are in [...] order by default | ascending
What does the wildcard * mean in a SELECT statement? | Select all fields/columns from the table
What does the % wildcard do in a SQL LIKE clause? | Represents any sequence of characters in a pattern match (e.g. LIKE 'J%' matches any value starting with J)
What does the LIKE operator do in SQL? | Filters data based on a specific pattern, typically using % as a wildcard
What do AND and OR do in a SQL WHERE clause? | AND requires all conditions to be true. OR requires at least one condition to be true
What does the JOIN (INNER JOIN) command do in SQL? | Combines rows from two or more tables based on a related (common) field between them
What keyword follows JOIN to specify the linking condition? | ON, followed by the matching condition (e.g. ON Table1.Key = Table2.Key)
What does a nested SELECT do in SQL? | Places one SELECT statement inside another, using the result of the inner query as a condition for the outer query
Write the SQL syntax to select all fields from a table called Students where Age > 18 | SELECT * FROM Students WHERE Age > 18;
What does CREATE TABLE do in SQL? | Creates a new table in the database with specified attributes, data types, and constraints
What three things must be specified for each attribute when using CREATE TABLE? | Whether it is the primary key, its data type, and whether it must be filled in (NOT NULL)
What does NOT NULL mean in SQL? | The field must contain a value and cannot be left empty
What is CHAR(n) in SQL? | A string data type with a fixed length of exactly n characters
What is VARCHAR(n) in SQL? | A string data type with a variable length, up to a maximum of n characters
How does CHAR(n) differ from VARCHAR(n) in SQL? | CHAR(n) always stores exactly n characters (padding with spaces if needed). VARCHAR(n) stores only the actual characters entered, up to a maximum of n
What SQL data type stores TRUE or FALSE values? | BOOLEAN
What SQL data type stores whole numbers? | INTEGER (or INT)
What SQL data type stores numbers with a decimal point? | FLOAT
What SQL data type stores monetary amounts? | CURRENCY
What does ALTER TABLE do in SQL? | Adds, deletes, or modifies columns in an existing table
Write the SQL syntax to add a column Email of type VARCHAR(50) to a table called Users | ALTER TABLE Users ADD Email VARCHAR(50)
Write the SQL syntax to remove a column called Phone from a table called Users | ALTER TABLE Users DROP COLUMN Phone
What does INSERT INTO do in SQL? | Inserts a new record into a database table
Write the SQL syntax to insert a record with Name 'Ali' and Age 20 into a table called Students | INSERT INTO Students (Name, Age) VALUES ('Ali', 20)
What does UPDATE do in SQL? | Modifies existing records in a database table
Write the general SQL syntax for updating a record | UPDATE TableName SET column1 = value1 WHERE condition
What does DELETE FROM do in SQL? | Removes specific records from a database table based on a condition
Write the SQL syntax to delete all records from Products where Price < 5 | DELETE FROM Products WHERE Price < 5;
What does DROP TABLE do in SQL? | Deletes an entire table and all its data from the database
How does DELETE FROM differ from DROP TABLE? | DELETE FROM removes specific records from a table (the table still exists). DROP TABLE removes the entire table structure and all its data permanently
What is referential integrity? | The process of ensuring consistency between linked tables so that every foreign key value matches an existing primary key in the related table
Ensuring every foreign key matches a valid primary key in a linked table — what is this called? | Referential integrity
Explain how referential integrity can be broken | If a record containing a primary key is deleted while foreign keys in other tables still reference it, those foreign keys become orphaned (pointing to non-existent records), breaking consistency
What is a cascade action in referential integrity? | An automatic action applied to related records when a primary key is updated or deleted (e.g. CASCADE automatically deletes or updates linked foreign key records)
Name four types of cascade action for referential integrity | CASCADE (auto-updates/deletes related records), SET NULL (sets foreign key to null), SET DEFAULT (sets foreign key to default value), NO ACTION/RESTRICT (prevents the change if related records exist)
What is a transaction in database processing? | A sequence of database operations treated as a single unit of work — either all operations complete successfully or none do
A sequence of database operations treated as a single indivisible unit — what is this called? | A transaction
What does ACID stand for? | Atomicity, Consistency, Isolation, Durability
What is Atomicity in ACID? | A transaction must be processed in its entirety or not at all — if any part fails, the whole transaction is rolled back
A transaction must fully complete or not happen at all — which ACID property is this? | Atomicity
What is Consistency in ACID? | A transaction must maintain the database's referential integrity rules, moving it from one valid state to another
A transaction must maintain all database rules and constraints, keeping data valid — which ACID property is this? | Consistency
What is Isolation in ACID? | Simultaneous transactions must produce the same result as if they were executed one after another — intermediate states are not visible to other transactions
Concurrent transactions produce the same result as sequential execution — which ACID property is this? | Isolation
What is Durability in ACID? | Once a transaction has been committed, it will persist regardless of system failures (e.g. power cuts)
Committed transactions are permanently saved even after a system crash — which ACID property is this? | Durability
What is record locking? | A technique that prevents simultaneous access to the same database record, ensuring only one user can edit a record at a time to prevent inconsistencies or lost updates
Preventing simultaneous write access to the same record to avoid data inconsistencies — what technique is this? | Record locking
What is a shared lock (read lock)? | A lock that allows multiple transactions to read a record simultaneously but prevents modifications until released
What is an exclusive lock (write lock)? | A lock that allows only one transaction to access and modify a record, blocking all other reads and writes until released
How does a shared lock differ from an exclusive lock? | A shared lock allows multiple users to read simultaneously but blocks writes. An exclusive lock blocks all other access (both reads and writes) while one transaction modifies the record
What is deadlock in database processing? | A situation where two or more transactions are each waiting for the other to release a locked record, so neither can proceed
Two transactions each hold a lock the other needs, causing both to wait indefinitely — what is this called? | Deadlock
Explain how deadlock occurs with an example | User 1 locks Record A and needs Record B. User 2 locks Record B and needs Record A. Both wait for the other to release their lock, so neither can make progress
Name two techniques for resolving or preventing deadlock | Ordering resource requests (always lock records in a fixed order) and using a timeout mechanism (automatically roll back a transaction if it waits too long)
What is redundancy in the context of databases? | Storing one or more copies of the data in physically different locations so that if one copy is damaged, the data can be recovered from another
Storing copies of data in separate physical locations for recovery purposes — what is this called? | Redundancy
How does data redundancy in normalisation differ from redundancy for backup purposes? | In normalisation, redundancy means unnecessary duplicate data within a database (undesirable — wastes space and causes inconsistency). In backup/transaction processing, redundancy means deliberate copies in separate locations (desirable — protects against data loss)
What is a commit operation in transaction processing? | An operation that saves all changes made during a transaction as permanent
What is a rollback operation in transaction processing? | An operation that reverts all changes made during a transaction, restoring the database to its previous state
What is lock granularity? | The size of the data being locked, which can range from a single row to an entire table
What is timestamping in concurrency control? | Assigning a unique timestamp to each transaction to manage the order in which concurrent transactions are executed
What is the BETWEEN keyword used for in SQL? | Filtering results within a specified range (e.g. WHERE DatePublished BETWEEN #01/01/2000# AND #31/12/2005#)
Name three benefits of electronic databases over paper records | Easier to add, delete, modify, and update data. Data can be backed up and copied more easily. Multiple users from multiple locations can access the same database simultaneously
Name three advantages of barcodes for data capture | Fast and accurate data entry, reduces human error, and can be read quickly by machine
What are the two main types of barcodes? | 1D barcodes (parallel lines of varying widths, e.g. on products) and 2D barcodes (geometric patterns like QR codes that store more data)
