What is the AND (∧) logical operator? | A logical operator that returns TRUE (1) only if ALL inputs are TRUE (1)
A FIFO data structure where the earliest added item is removed first — what is this? | Queue
How does a stack differ from a queue? | A stack uses LIFO (last in, first out) so the most recent item is removed first; a queue uses FIFO (first in, first out) so the earliest item is removed first
What does LIFO stand for, and which data structure uses it? | Last In, First Out — used by stacks
What does FIFO stand for, and which data structure uses it? | First In, First Out — used by queues
What is a record? | A data structure that stores data in elements called fields, organised based on attributes
A data structure that organises data into named fields based on attributes — what is this? | Record
What is a graph? | A data structure consisting of a set of vertices (nodes) connected by a set of edges (arcs)
A data structure made up of vertices/nodes connected by edges/arcs — what is this? | Graph
What is a directed graph? | A graph where the order of the vertices in an edge matters — edges are one-way
A graph with one-way edges where the direction between paired vertices matters — what is this called? | Directed graph
What is an undirected graph? | A graph where the order of the vertices in an edge does not matter — edges are bidirectional
A graph with bidirectional edges where vertex order does not matter — what is this called? | Undirected graph
How does a directed graph differ from an undirected graph? | In a directed graph, edges have a specific direction (one-way); in an undirected graph, edges are bidirectional (two-way)
What is a tree? | A data structure using a set of linked nodes to form a hierarchical structure starting at a root node, where each node is a child of a parent node
A hierarchical data structure of linked nodes starting from a root, where each node is a child of a parent — what is this? | Tree
What is a binary search tree? | A tree where each node has at most 2 children; the right child and its descendants always have a greater value than the root node
A tree where each node has at most two children and the right subtree always contains values greater than the root — what is this? | Binary search tree
What is a hash table? | A data structure where a hashing algorithm calculates a value to determine where a data item is stored, allowing direct access by recalculation without any search
A data structure that uses a hashing algorithm to calculate storage locations, enabling direct access without searching — what is this? | Hash table
Why can data be accessed quickly in a hash table? | The hashing algorithm recalculates the storage location from the key, giving direct access to the data item without needing to search through the structure
What is breadth first traversal? | A graph traversal method that visits all neighbours of the starting node first, then repeats for each neighbour in the order they were visited
A graph traversal that explores all neighbours of a node before moving to the next level of neighbours — what method is this? | Breadth first traversal
What is depth first traversal? | A graph traversal method that travels as far as possible along one route before backtracking and trying alternative unexplored routes
A graph traversal that goes as deep as possible along a single path before backtracking — what method is this? | Depth first traversal
How does breadth first traversal differ from depth first traversal? | Breadth first visits all neighbours of the current node before moving deeper (level by level); depth first follows a single path as far as possible before backtracking
What is a Boolean expression? | A combination of Boolean variables and logical operators that evaluates to either TRUE or FALSE depending on the input
A combination of Boolean variables and logical operators that evaluates to TRUE or FALSE — what is this called? | Boolean expression
What is Boolean logic? | A type of algebra using logical operators where all values and expressions ultimately reduce to TRUE or FALSE
State the commutation law for AND | A ∧ B = B ∧ A
State the commutation law for OR | A ∨ B = B ∨ A
What do the commutation laws state? | The order of operands does not matter: A ∧ B = B ∧ A, and A ∨ B = B ∨ A
State the association law for AND | A ∧ (B ∧ C) = (A ∧ B) ∧ C
State the association law for OR | A ∨ (B ∨ C) = (A ∨ B) ∨ C
What do the association laws state? | The grouping of operands does not matter: A ∧ (B ∧ C) = (A ∧ B) ∧ C, and A ∨ (B ∨ C) = (A ∨ B) ∨ C
State De Morgan's First Law | ¬(A ∨ B) = ¬A ∧ ¬B
¬(A ∨ B) = ¬A ∧ ¬B — which law is this? | De Morgan's First Law
State De Morgan's Second Law | ¬(A ∧ B) = ¬A ∨ ¬B
¬(A ∧ B) = ¬A ∨ ¬B — which law is this? | De Morgan's Second Law
How does De Morgan's First Law differ from De Morgan's Second Law? | First Law: NOT (A OR B) = (NOT A) AND (NOT B) — it breaks a negated OR into ANDed negations. Second Law: NOT (A AND B) = (NOT A) OR (NOT B) — it breaks a negated AND into ORed negations
State the distribution law for AND over OR | A ∧ (B ∨ C) = (A ∧ B) ∨ (A ∧ C)
State the expanded distribution law for two OR expressions ANDed together | (A ∨ B) ∧ (C ∨ D) = (A ∧ C) ∨ (A ∧ D) ∨ (B ∧ C) ∨ (B ∧ D)
State the double negation law | A = ¬¬A (negating a value twice returns the original value)
What is a D-type flip flop? | A sequential logic circuit used to store a single bit, with two stable states that can be toggled using an input signal
A sequential logic circuit that stores a single bit and has two stable states — what is this? | D-type flip flop
What is a half adder? | A combinational arithmetic circuit that adds two input bits and produces a sum bit (S) and a carry bit (C) as output
A circuit that takes two single-bit inputs and produces a sum and carry output — what is this called? | Half adder
What is a full adder? | A combination of two half adders that takes a carry-in bit and two other input bits, and produces their sum and a new carry-out bit
A circuit that adds three bits (two inputs plus a carry-in) and outputs a sum and carry-out — what is this called? | Full adder
How does a full adder differ from a half adder? | A half adder takes only two input bits and produces sum + carry. A full adder takes three bits (two inputs plus a carry-in) and produces sum + carry-out, making it suitable for multi-bit addition
What are Karnaugh maps used for? | Simplifying Boolean expressions by redrawing the truth table and applying visual rules to obtain expressions with the minimum (or close to minimum) logical operators, as a sum of products
A method of simplifying Boolean expressions by rearranging the truth table and grouping adjacent cells to find a minimal sum-of-products expression — what is this? | Karnaugh map
What are logic gate diagrams? | A graphical method of representing Boolean expressions using the standard symbols for logic gates
How many inputs does a half adder take? | Two input bits
How many inputs does a full adder take? | Three bits (two input bits plus a carry-in bit)
What output does a half adder produce? | A sum bit (S) and a carry bit (C)
What output does a full adder produce? | A sum bit and a carry-out bit
In a binary search tree, where are values greater than the root placed? | In the right subtree (the right node and all its descendants)
How many characters does hexadecimal use? | 16 characters (0-9 and A-F)
How many bits does ASCII use per character? | 8 bits
