What is an integer data type? | A whole number (positive, negative, or zero) with no fractional part
What role does the mantissa play in a floating point number? | It holds the significant digits, determining the precision of the value
What role does the exponent play in a floating point number? | It determines how far the binary point moves, scaling the number up or down
In floating point binary, where is the binary point assumed to be within the mantissa? | After the most significant bit
How are the mantissa and exponent stored in floating point binary? | Both are stored in two's complement
In a floating point mantissa, what does an MSB of 0 indicate? | The number is positive
In a floating point mantissa, what does an MSB of 1 indicate? | The number is negative
How does increasing the number of mantissa bits affect a floating point number? | It increases precision (more significant digits can be stored)
How does increasing the number of exponent bits affect a floating point number? | It increases the range of values that can be represented (larger and smaller numbers)
Describe how to convert a floating point binary number to denary | Convert the exponent to denary, shift the binary point in the mantissa by that many places (right if positive, left if negative), then convert the resulting fixed-point binary to denary
What does it mean to normalise a floating point binary number? | Adjusting the mantissa and exponent so the mantissa begins with 01 (positive) or 10 (negative), maximising the use of mantissa bits for precision
Why are floating point numbers normalised? | To ensure the number is stored as precisely as possible within the available bits by making full use of the mantissa
A normalised positive floating point mantissa must begin with which two bits? | 01
A normalised negative floating point mantissa must begin with which two bits? | 10
When normalising, if you shift the mantissa n places to the left, what happens to the exponent? | The exponent decreases by n
When normalising, if you shift the mantissa n places to the right, what happens to the exponent? | The exponent increases by n
What is the first step when adding or subtracting two floating point binary numbers? | Equalise the exponents by shifting the mantissa of the number with the smaller exponent to the right and increasing its exponent to match
After adding or subtracting floating point mantissas, what must you do? | Normalise the result if the mantissa does not start with 01 (positive) or 10 (negative)
How is floating point subtraction performed in binary? | Equalise the exponents, convert the mantissa being subtracted to two's complement (invert and add 1), add the mantissas, then normalise the result
What is a logical shift? | Moving all bits in a binary number a specified number of places to the left or right, filling vacated positions with zeros
What is the effect of a logical shift left by 1 place on an unsigned binary number? | It doubles the value (multiplies by 2)
What is the effect of a logical shift right by 1 place on an unsigned binary number? | It halves the value (integer division by 2)
A logical shift left by n places multiplies the value by what? | 2 to the power of n
A logical shift right by n places divides the value by what? | 2 to the power of n
What is a mask in bitwise manipulation? | A binary number combined with another using a bitwise operation (AND, OR, or XOR) to isolate, set, clear, or toggle specific bits
What is the effect of a bitwise AND on two bits? | The result is 1 only if both bits are 1; otherwise it is 0
What is the effect of a bitwise OR on two bits? | The result is 1 if either or both bits are 1; it is 0 only if both bits are 0
What is the effect of a bitwise XOR on two bits? | The result is 1 if exactly one of the two bits is 1; it is 0 if both bits are the same
How can an AND mask extract specific bits from a binary number? | Set mask bits to 1 where you want to keep the original bits and 0 elsewhere; ANDing zeros out all other positions
How can an OR mask set specific bits to 1? | Set mask bits to 1 in the positions to force on; ORing sets those bits to 1 without changing the others
How can an XOR mask toggle specific bits? | Set mask bits to 1 in the positions to flip; XORing inverts those bits while leaving the rest unchanged
What is a character set? | A standardised collection of codes and their corresponding characters, used by computers to represent text
A standardised collection of codes and corresponding characters used to represent text -- what term describes this? | A character set
What does ASCII stand for? | American Standard Code for Information Interchange
How many bits does standard ASCII use per character? | 7 bits
How many characters can standard ASCII represent? | 128 (2 to the power of 7)
In ASCII, what range of decimal codes represents uppercase letters A-Z? | 65 to 90
In ASCII, what range of decimal codes represents lowercase letters a-z? | 97 to 122
How does extended ASCII differ from standard ASCII? | Extended ASCII uses 8 bits per character instead of 7, allowing 256 characters instead of 128
What is a key limitation of ASCII? | It can only represent 128 characters, which is insufficient for non-English languages, modern symbols, and emoji
How does Unicode address the limitations of ASCII? | It uses a variable number of bits (up to 32), allowing representation of over 1 million characters across many languages, symbols, and emoji
What is the trade-off of Unicode compared to ASCII in terms of storage? | Unicode characters can require up to 32 bits each, using significantly more storage than ASCII's 7 bits per character
