What are ethics concerned with? | Our values as a community and how these will impact different groups of people in society
What are neural networks? | AI systems that replicate biological neural networks by learning from a given data set and applying that knowledge to new data sets
How do neural networks learn? | They are given a set of training data from which they learn patterns, and this knowledge can then be applied to new, unseen data sets
Give two applications of neural networks | Pattern detection and detecting financial fraud
Give an example of AI used in the home and explain its privacy concern | Voice recognition systems in smart home devices (e.g. Google Home, Amazon Alexa) must be constantly switched on to function, raising questions about privacy
What accountability question does AI raise? | Who is responsible when an AI system makes a mistake or causes harm?
What moral dilemmas do AI developers and researchers face? | Issues of accountability for their creations, privacy, job displacement, social inequality, and ensuring systems avoid biases that could lead to discrimination
Why does AI create a digital divide in education and accessibility? | AI technologies may favour individuals with more resources and access to technology, creating disparities in who benefits from AI advances
What is censorship? | The act of suppressing or controlling the content that people are able to view, publish, and access
The act of suppressing the content people can view, publish, and access — what is this called? | Censorship
Give four reasons governments may censor internet content | Protecting national security, restricting harmful content (e.g. hate speech, violence), preserving cultural or religious norms, and combating disinformation
In the UK, what type of content do ISPs block? | Websites associated with terrorism and extremist political beliefs
Explain why some people consider government censorship unethical | It could be used to block out alternative political beliefs rather than genuinely protecting the country, effectively pushing a particular ideology on the public
What is the idea of a 'Free Internet'? | The principle that nothing online should be filtered, in line with freedom of speech — as Tim Berners-Lee intended the internet to be a space for sharing and mutual benefit
Why do most people agree some internet censorship is necessary? | For national security purposes and to filter offensive comments and extremist propaganda
Give two examples of censorship at a smaller scale than government censorship | Schools preventing pupils from accessing unsuitable material, and workplaces using censorship to maintain productivity and prevent distractions
How can censorship at the workplace be justified? | It maintains high productivity by preventing employees from accessing distracting websites during work hours
How can censorship impact the digital divide? | Censorship measures can further widen the gap in access to information and online resources for marginalised communities with restricted internet access
Explain how censorship can hinder cross-cultural dialogue | The internet facilitates connections among diverse communities worldwide, and censorship limiting the free flow of ideas restricts opportunities for intercultural understanding and cooperation
How are computers used to monitor behaviour in the workplace? | Employers track the websites and applications workers access and the time spent on these to monitor productivity
Give three types of surveillance technology used to monitor behaviour | CCTV cameras, ankle monitors, and email/phone call monitoring
How are CCTV cameras used for security? | They detect crime (from speeding to violence), help trace and punish criminal activity, and act as a deterrent to unlawful behaviour
What are ankle monitors used for? | Tracking the location of people under house arrest
Give one argument for and one argument against using surveillance to monitor behaviour | For: it deters crime and helps trace criminal activity. Against: it may infringe on individuals' privacy and contravene basic human rights
How can mass surveillance negatively impact social behaviour? | It may promote self-censorship and create a fear of expressing dissenting opinions, stifling open dialogue
Why might marginalised communities be disproportionately affected by monitoring? | They may be more heavily targeted by monitoring practices, leading to discrimination and mistrust
What ethical principle should guide the collection of monitoring data? | Minimisation and purpose limitation — only necessary data should be collected and it should only be used for its intended purpose
What is big data? | Large amounts of data collected from a number of sources that can be analysed to make inferences about people's behaviour
Large amounts of data from multiple sources that can be analysed to reveal patterns in behaviour — what is this called? | Big data
What is data mining? | The process of analysing large data sets to identify patterns, extract insights, and make inferences about people's behaviour, likes, and dislikes
The process of analysing large data sets to identify patterns and extract insights about people — what is this called? | Data mining
Give three uses of data mining | Informing personalised political propaganda, targeted advertising, and identifying previously unknown connections between variables
Explain an ethical concern with data mining and insurance companies | Data mining could uncover that an individual is at high risk of developing a disease, allowing an insurance company to deny them insurance or charge a higher premium, which raises questions about fairness
Why is the Data Protection Act 1998 considered insufficient in the modern era? | It is no longer adequate to protect public welfare given the scale and sophistication of modern data collection, which is why the GDPR was enforced in May 2018
What legislation replaced the Data Protection Act 1998 for data protection? | The General Data Protection Regulation (GDPR), enforced from May 2018
Why are companies under pressure to be more transparent about data collection? | Although legally required to state what data they collect, it may not always be obvious to users what data is gathered or how it will be used
What ethical question arises when companies discover health risks through data mining? | Whether companies have a responsibility to inform users about discoveries that could affect them, such as a high risk of developing a particular disease
What is piracy in a computing context? | The unauthorised copying, distribution, or reproduction of copyrighted content such as software, music, or films
The unauthorised copying and distribution of copyrighted content — what is this called? | Piracy
Give three types of digital piracy | Software piracy, music and film piracy, and eBook piracy
Why is piracy considered a form of theft? | It involves using someone's creative output without permission, violating their intellectual property rights
Explain why the internet has made piracy a greater concern | The internet has made it easier than ever to source copyrighted content illegally, as it can be distributed through peer-to-peer networks and download websites
What is offensive communication? | Any sort of online harassment, including cyber-bullying or stalking
What law makes it a criminal offence to send offensive messages online? | The Malicious Communications Act (1998)
What does the Malicious Communications Act 1998 make illegal? | Sending indecent or offensive messages to anyone online — this can be traced by law enforcement and result in a criminal record
How does the internet facilitate offensive communications? | It provides a seemingly anonymous front for people, making them feel they can harass others without consequences
How can piracy highlight market limitations? | The existence of piracy can reveal gaps in legal access to media, prompting discussion on the need for more affordable and accessible distribution models
How did Apple's iTunes help combat music piracy? | It offered a convenient, easy-to-use, and reasonably priced legal alternative to piracy, addressing the service gap that drove people to pirate music
Why must web developers consider who will be viewing their website? | The Equality Act 2010 makes it illegal to discriminate against providing a service to a certain group of people, so websites must be accessible to all users
How does website layout differ for Arabic-speaking countries compared to English-speaking countries? | In Arabic-speaking countries (e.g. Egypt, UAE), menus may be displayed on the right-hand side because Arabic is read from right to left, whereas in English-speaking countries menus are on the left
Why is a well-laid-out website particularly important for online stores? | A website that is easy to navigate will attract more customers, directly affecting revenue
Give three ways websites can be made accessible to people with visual impairments | Providing alternative text (alt text) for images, offering a screen magnifier option, and allowing text enlargement and contrast adjustment
What should websites provide for users with hearing impairments? | Transcripts of audio files
Why must web developers consider colour paradigms when designing for a global audience? | Different colours have different meanings across cultures — for example, white represents mourning in the Middle East but purity in Western cultures
White is associated with mourning in which region, and with what in Western cultures? | Mourning in the Middle East; purity in Western cultures
Why is green often chosen as a neutral colour for websites? | It represents luck and nature, and has widely positive connotations across most cultures
Why is ASCII insufficient for representing all global languages? | ASCII only uses 7 bits (128 characters), which cannot represent all characters in languages like Chinese that have thousands of characters
Why is Unicode preferred over ASCII for international websites? | Unicode can represent over a million characters, accommodating virtually all of the world's writing systems
How does Unicode differ from ASCII in terms of character capacity? | ASCII uses 7 bits and can represent only 128 characters; Unicode can represent over a million characters from virtually all writing systems worldwide
What are the environmental effects of cheap, widely produced technological devices? | People discard more devices than before, creating e-waste that contains toxic materials such as mercury and radioactive isotopes that can contaminate water supplies
What is e-waste? | Discarded electronic or electrical devices that can contain toxic materials harmful to the environment
Discarded electronic devices containing toxic elements like lead, mercury, and cadmium — what is this called? | E-waste
Why is shipping e-waste to developing countries considered immoral? | These countries often have lower environmental standards, meaning the waste is disposed of unsafely, contaminating their environment and harming their populations
Explain how increased computerisation contributes to global warming | More devices require more electricity, much of which comes from burning non-renewable fossil fuels that emit greenhouse gases into the atmosphere
Give three examples of environmentally friendly technologies that help offset the environmental impact of computing | Smart home systems using temperature/motion sensors to control heating and lighting, sleep/stand-by modes on computers, and car engines designed to prevent idling
What are the six steps for proper e-waste disposal? | Reduce and reuse, recycle, use e-waste recycling programmes, dispose at designated facilities, follow local regulations, and erase personal data before disposal
What is environmental equity? | The fair distribution of environmental benefits and burdens among different social groups and communities, regardless of socioeconomic status, race, or cultural background
The fair distribution of environmental benefits and burdens among all social groups — what concept is this? | Environmental equity
Why are lower-income communities disproportionately affected by e-waste? | They may bear a greater burden of e-waste pollution because waste is often shipped to or processed in areas with lower environmental standards and less political power to resist
How do compare/contrast: morals vs ethics | Morals are personal — they relate to an individual's own code of conduct and behaviour. Ethics are communal — they relate to the shared values of a community and how decisions impact different groups in society
How does automated decision making differ from traditional human decision making? | Automated decisions use algorithms and data analysis to decide without direct human intervention, enabling faster processing of large datasets but lacking the ability to consider extenuating circumstances and contextual nuance that humans provide
How does structural unemployment from computerisation differ from the digital divide? | Structural unemployment refers to job losses caused by automation making certain roles obsolete. The digital divide refers to inequality in access to technology between different social groups, affecting education and opportunities
How do expert systems differ from neural networks? | Expert systems use a predefined knowledge base of facts and rules with an inference engine to reach conclusions. Neural networks learn patterns from training data and can apply that knowledge to new datasets without predefined rules
How does the Data Protection Act 1998 differ from the GDPR? | The DPA 1998 was the original UK data protection law but became insufficient for modern data practices. The GDPR (2018) replaced it with stronger protections, including stricter requirements for consent, transparency, and individual data rights
How does piracy differ from offensive communication? | Piracy is the unauthorised copying and distribution of copyrighted content (e.g. software, music, films). Offensive communication is online harassment such as cyber-bullying or stalking
How does censorship for national security differ from censorship to push an ideology? | National security censorship aims to protect citizens by blocking genuinely dangerous content (e.g. terrorism). Ideological censorship blocks alternative political views to suppress opposition, which is considered unethical
What does the Equality Act 2010 require regarding website design? | It makes it illegal to discriminate against providing a service to a certain group of people, so websites must be designed to accommodate all users including those with disabilities
What ethical concern does the COMPAS AI program in the US judicial system raise? | It uses undisclosed factors to generate risk scores predicting criminal behaviour, but these scores are not argued in court, and critics argue AI cannot fully understand human behaviour nuances and may reflect biases in its training data
What did UNESCO produce in November 2021 regarding AI? | The first global standard on AI ethics — the 'Recommendation on the Ethics of Artificial Intelligence', adopted by all 193 Member States
Why are artists concerned about AI training data? | Their work is being used without consent to train AI systems, leading to potential copyright infringements and loss of income — several artists and Getty Images have filed lawsuits against AI firms
What is the digital divide? | The disparity between individuals who have access to technology and digital resources and those who do not, creating barriers to information, education, and economic opportunities
The disparity in access to technology and digital resources between different groups — what is this called? | The digital divide
Why is informed consent important when analysing personal information? | It respects individuals' autonomy to control their own data, and people should know how their data will be used, who has access, and what the risks are before agreeing to its collection
Why must monitoring practices follow the principle of transparency? | Organisations must be open about the purposes and methods of data collection and be held accountable for misuse, preventing abuses of power and maintaining public trust
Why is algorithmic transparency an important ethical principle? | It ensures automated decision-making algorithms are interpretable and understandable, preventing hidden biases and enabling accountability for decisions that affect people's lives
Computer programs must support bi-directional text to accommodate what? | Languages that read left to right (e.g. English) and languages that read right to left (e.g. Arabic, Hebrew), ensuring usability across different cultures
Red is associated with [...] in Western cultures but signifies [...] in Chinese culture | Danger; luck
Why is it ethically important to maintain human oversight in automated decision making? | Algorithms may contain hidden biases, cannot consider extenuating circumstances, and lack contextual understanding — human input is essential to ensure fairness and catch errors
Explain why AI in healthcare raises complex liability questions | If an AI system gives an incorrect diagnosis or treatment recommendation with severe consequences, determining who is responsible is difficult — it could be the AI system, its developers, or the treating physician
What social impact can computer-mediated communication have on people? | It can reduce face-to-face social interactions, leading to reduced interpersonal skills and potential isolation
How can remote work enabled by computers affect work-life balance? | It may blur the boundaries between work and personal life, leading to increased stress and difficulty separating professional and personal time
What is the moral duty regarding e-waste and energy use? | To embrace environmentally responsible practices such as proper e-waste disposal and energy-efficient usage, protecting the planet for future generations
How can AI algorithms maintain cultural biases? | If trained on data that underrepresents certain cultural groups or contains culturally biased information, AI systems may produce outputs that fail to represent diverse cultural perspectives fairly
