What are the three stages of how a search engine works? | Crawling, indexing, ranking
How does user engagement affect search ranking? | Metrics like click-through rates, dwell time, and bounce rates indicate how valuable users find a page, and pages with greater engagement may rank higher
Explain why mobile-friendliness affects search rankings | Search engines factor in mobile compatibility because mobile usage is prominent. Google primarily uses the mobile version of a site's content for ranking
How does content freshness affect PageRank? | Search engines value up-to-date content, and pages that are frequently updated or contain recent information may receive ranking priority
Why is PageRank not the only factor in determining search rankings? | Search engines use multiple different algorithms and factors together to provide diverse, relevant, and high-quality search outcomes
What is server side processing? | Running code and carrying out operations on the server instead of on the client's device or browser
Running code on the server rather than the client's device is called what? | Server side processing
What is client side processing? | Carrying out code or processing tasks on the user's device, usually within the web browser, instead of on the server
Executing code within the user's web browser rather than on the server is called what? | Client side processing
Name four server side programming languages | PHP, Python, Ruby, Java
What is PHP? | A server side scripting language specifically designed for web development (Hypertext Pre-processor)
What is the primary language used for client side processing? | JavaScript
How does server side vs client side processing differ in where code executes? | Server side processing runs on the server (e.g. PHP, Python). Client side processing runs on the user's device/browser (e.g. JavaScript)
Give three examples of server side processing tasks with PHP | Data retrieval and manipulation from databases, server operations not accessible to the client, form processing and validation
What is a benefit of server side processing regarding security? | Improved security measures can be implemented, ensuring secure management of sensitive data, access control, and protection against common web vulnerabilities
What is a drawback of server side processing regarding latency? | Communication with the server is required, which causes roundtrips that can lead to slower response times compared to client side processing
What is a benefit of server side processing regarding consistency? | It ensures consistent behaviour across different devices and browsers because the processing logic is centralised on the server
What is a drawback of server side processing regarding server load? | When multiple requests are made, complex processing tasks can consume server resources and cause decreased overall server performance
What is a benefit of client side processing regarding user experience? | It creates interactive and dynamic experiences, eliminating the need for frequent server requests and page reloads
What is a drawback of client side processing regarding security? | Client side code can be viewed by users, meaning sensitive information and operations could be exposed or tampered with
Explain why JavaScript validation is done on the client side AND rechecked on the server side | Client side validation reduces unnecessary server load by catching invalid data before it is sent. However, JavaScript can be amended or circumvented by the user, so the server must recheck to ensure data integrity
What is a benefit of client side processing regarding server load? | Offloading processing tasks to the client side reduces the server load, improving scalability and resource utilisation
What is a drawback of client side processing regarding JavaScript dependency? | Client side processing is heavily dependent on JavaScript. If the user's browser does not support or has disabled JavaScript, functionality may become inaccessible or break
Name three examples of client side processing with JavaScript | Form validation, DOM manipulation, AJAX requests
What are AJAX requests? | Asynchronous communication with the server that retrieves data in the background, allowing dynamic content updates without requiring a full-page reload
What is DOM manipulation in JavaScript? | Modifying the Document Object Model to make dynamic changes to a web page's content and structure, such as adding/removing elements, updating text, or modifying styles
When is client side processing the better choice? | For tasks requiring immediate user feedback, real-time interactions, dynamic user interfaces, or data manipulation within the browser
When is server side processing the better choice? | For tasks involving database access, handling sensitive data, complex business logic, or server-specific operations
What is HTML? | Hypertext Markup Language, the foundational language used to structure content on the web
The foundational language used to structure content on web pages using tags is called what? | HTML (Hypertext Markup Language)
What is the root element of an HTML page? | The <html> tag, which includes all other HTML elements on the page
What is the difference between opened-and-closed tags and self-closing tags in HTML? | Most tags have an opening and closing tag (e.g. <html></html>), while some tags are only opened (e.g. <img>, <link>) and do not require a closing tag
What does the <head> section of an HTML document contain? | Information about the web page that is not displayed on the page itself, such as the title and linked stylesheets
What does the <body> section of an HTML document contain? | The main content of the web page, such as text, images, videos, hyperlinks, and tables
What does the <title> element do in HTML? | Sets the page title that appears in the browser tab, placed inside the <head> section
How do you link an external CSS stylesheet in HTML? | Using the <link> element in the <head> section, e.g. <link rel="stylesheet" type="text/css" href="styles.css">
What are the heading tags in HTML and how are they structured? | <h1> through <h6>, used hierarchically with <h1> being the most prominent and <h6> the least prominent
Why are HTML headings important for accessibility? | Screen readers use headings to help visually-impaired users navigate around the page, such as providing a list of headings and allowing users to jump to specific sections
Why are HTML headings important for SEO? | They help search engines understand the content and structure of the page
What attributes does the <img> tag use in HTML? | src (specifies the image URL), alt (provides alternative text for screen readers), height and width (specify dimensions)
What does the alt attribute on an <img> tag do? | Provides alternative text for screen readers or when the image cannot be displayed, and helps search engines understand the image content
How do you create a hyperlink in HTML? | Using the <a> (anchor) tag with the href attribute specifying the URL, e.g. <a href="url">link text</a>
How do you make an image into a hyperlink in HTML? | Wrap the <img> tag inside an <a> tag, e.g. <a href="page.htm"><img src="image.png"></a>
What does the <div> tag do in HTML? | It is a generic container used to group other HTML elements together, often used with CSS to style sections of a webpage
What does the <form> tag do in HTML? | Creates a form for user input
What does the <input> tag do in HTML? | Creates interactive controls within a form. The type attribute sets the control type (e.g. "text" for a textbox, "submit" for a submit button)
How do you create an ordered list in HTML? | Using the <ol> tag with <li> tags nested inside for each list item, producing numbered items
How do you create an unordered list in HTML? | Using the <ul> tag with <li> tags nested inside for each list item, producing bullet points
How does an ordered list (<ol>) differ from an unordered list (<ul>) in HTML? | An ordered list displays numbered items while an unordered list displays bullet points. Both use <li> tags for individual items
How do you embed or reference JavaScript within an HTML document? | Using the <script> tag, e.g. <script src="script.js"></script>
What is the difference between a class and an ID in HTML? | A class can be applied to many HTML elements, while an ID specifies a unique identifier that only one element can have
How do you select a class in CSS? | Using a full stop (.) followed by the class name, e.g. .myClass
How do you select an ID in CSS? | Using a hash (#) followed by the ID name, e.g. #myID
A CSS selector preceded by a full stop (.) selects what? | A class
A CSS selector preceded by a hash (#) selects what? | An identifier (ID)
What is CSS? | Cascading Style Sheets, a language that defines the style or appearance of a webpage
A language used to describe the style and appearance of a webpage, using selectors such as classes and IDs, is called what? | CSS (Cascading Style Sheets)
What are the two ways CSS can be applied to a webpage? | Internally (inline within HTML or in <style> tags) or externally (in a separate .css file linked to the HTML)
What happens when both internal and external CSS apply to the same element? | Internal CSS (within the HTML) overrides external CSS styling
In CSS, what does the property "color" control? | The font colour (note: spelled the American way, "color", not "colour")
In CSS, what does the property "background-color" control? | The background colour of an element
Name six CSS properties you should know for the exam | background-color, border-color, border-style, border-width, color (font colour), font-family, font-size, height, width
How are colours specified in CSS? | By name (e.g. "orange", "blue") or by hex code (e.g. #FF0000 for red)
What do the three pairs of characters in a CSS hex colour code represent? | Red, green, and blue values respectively (e.g. #FF0000 = red, #00FF00 = green, #0000FF = blue)
Why must you spell "color" not "colour" in CSS? | CSS uses American spelling. Writing "colour" will not be recognized and the code will not work
What is JavaScript? | A programming language that adds interactivity and dynamic functionality to webpages, primarily used for client-side scripting
A scripting language that adds interactivity to websites, runs in the browser, and is interpreted rather than compiled is called what? | JavaScript
Why is JavaScript described as interpreted rather than compiled? | Web pages are interpreted by the browser each time they are loaded, independently of the processor architecture, rather than being compiled to machine code beforehand
Name four purposes of JavaScript on webpages | Interactive features (e.g. image sliders, drop-down menus), dynamic content (e.g. infinite scrolling), form validation, data manipulation
How do you declare a variable in JavaScript? | Using the let keyword, e.g. let score = 10;
How do you declare a constant in JavaScript? | Using the const keyword, e.g. const PI = 3.14;
How does a variable differ from a constant in JavaScript? | A variable (declared with let) can be changed during program execution, while a constant (declared with const) remains the same once assigned
Why is using var considered bad practice in JavaScript? | var creates global variables, which can cause unintended side effects. let (introduced in 2015) provides block-scoped variables instead
Name four rules for variable names in JavaScript | Must start with a letter, cannot contain spaces, can contain letters/numbers/_/$, must not use reserved words (e.g. if, while, for)
What are the five basic data types in JavaScript? | Integer (whole numbers), Real/Float (fractional numbers), Char (single character), String (sequence of characters), Boolean (true/false)
How do you change the content of an HTML element using JavaScript? | Use document.getElementById("id") to select the element, then set its innerHTML property, e.g. chosenElement.innerHTML = "Hello World";
What does document.getElementById() do? | Retrieves the HTML element with the specified ID from the document's DOM (Document Object Model)
What does the innerHTML property do in JavaScript? | Allows direct access to and modification of the HTML content within an element
How do you display a pop-up alert box in JavaScript? | Using the alert() function, e.g. alert("Hello World");
How do you write directly to a webpage using JavaScript? | Using document.write(), e.g. document.write("Hello World");
What are the three programming constructs? | Sequence, selection, iteration
What is selection in programming? | Selecting lines of code to run depending on whether a condition is true or false
What are the two ways to write selection statements in JavaScript? | If statements and switch case statements
What does the == operator do in JavaScript? | Compares two values for equality with type coercion (e.g. 5 == "5" returns true)
What does the === operator do in JavaScript? | Compares two values for equality in both value and type without type coercion (e.g. 5 === "5" returns false)
How does == differ from === in JavaScript? | == performs type coercion before comparison (5 == "5" is true), while === checks both value and type without coercion (5 === "5" is false)
How does != differ from !== in JavaScript? | != checks inequality with type coercion, while !== checks inequality without type coercion (also checks type)
Write the syntax for an if-else statement in JavaScript | if (condition) { // code if true } else { // code if false }
Write the syntax for an if-else if-else statement in JavaScript | if (condition1) { // code } else if (condition2) { // code } else { // code }
What is a switch case statement in JavaScript? | An alternative way to perform multiple comparisons based on the value of a single expression, matching the expression against various case labels
What is the purpose of the break statement in a switch case? | It stops execution from falling through to the next case. Without break, code continues executing subsequent cases until a break is encountered
What is fall-through behaviour in a switch case? | If a matching case has no break statement, execution continues to the next case until a break is encountered, allowing multiple cases to share the same code block
What is the default keyword in a switch case? | An optional block that executes if none of the case labels match the expression, acting as a catch-all
What is a for loop in JavaScript? | A control flow statement that repeatedly executes a block of code for a specified number of iterations
What are the three parts of a for loop in JavaScript? | Initialisation (sets counter variable), condition (checked before each iteration), increment/decrement (updates counter after each iteration)
Write a for loop that counts from 1 to 5 in JavaScript | for (let i = 1; i <= 5; i++) { console.log(i); }
What does the for...in loop do in JavaScript? | It iterates through the indices/keys of a data structure like an array, assigning the current index to the loop variable in each iteration
What is a while loop in JavaScript? | A control flow statement that repeatedly executes a block of code as long as a specified condition remains true, used when the number of iterations is unknown in advance
How does a while loop differ from a for loop? | A for loop runs for a specified number of iterations with a built-in counter. A while loop runs as long as a condition is true and is used when the number of iterations is unknown in advance
How does a do...while loop differ from a while loop? | A do...while loop executes the code block at least once before checking the condition, while a while loop checks the condition before each execution
Write the syntax for a do...while loop in JavaScript | do { // code to execute at least once } while (condition);
What does i++ do in JavaScript? | Increments the variable i by 1 (shorthand for i = i + 1)
What does i-- do in JavaScript? | Decrements the variable i by 1 (shorthand for i = i - 1)
How do you find the length of a string in JavaScript? | Using the .length property, e.g. message.length
What does the substring() method do in JavaScript? | Extracts a portion of a string given a starting index and optional ending index (exclusive), returning a new string
What does message.substring(0, 5) return if message = "Hello, world!"? | "Hello" (characters from index 0 up to but not including index 5)
What does message.substring(7) return if message = "Hello, world!"? | "world!" (characters from index 7 to the end of the string)
What does the + operator do with strings in JavaScript? | Concatenates (joins) strings together, e.g. "John" + " " + "Doe" produces "John Doe"
What does the % (modulus) operator do in JavaScript? | Returns the remainder when one number is divided by another, e.g. 10 % 3 = 1
What does the ** (exponentiation) operator do in JavaScript? | Raises a number to the power of another, e.g. 3 ** 3 = 27
What is operator precedence in JavaScript? | The rules determining the order in which operators are evaluated (follows BIDMAS/BODMAS). Parentheses can override this order
What does the && (AND) operator do in JavaScript? | Returns true if both operands are true, otherwise returns false
What does the || (OR) operator do in JavaScript? | Returns true if at least one operand is true, and false only if both operands are false
What does the ! (NOT) operator do in JavaScript? | Negates a Boolean value: returns true if the operand is false, and false if the operand is true
How does && differ from || in JavaScript? | && (AND) requires both conditions to be true to return true. || (OR) requires only one condition to be true to return true
What is nesting in programming? | Putting one block of code within another, commonly done with if statements and loops
Why might you use nested if statements? | To create more complex decision-making logic by evaluating multiple conditions and handling various scenarios within code
How do you calculate the total number of times an inner nested loop runs? | Multiply the number of outer loop iterations by the number of inner loop iterations (e.g. outer runs 3 times, inner runs 5 times = 15 total inner loop executions)
What is a function in JavaScript? | A reusable block of code that performs a specific task, can take input parameters (arguments), and returns a value
What is a procedure in JavaScript? | A function that does not return a value. It performs a series of actions but has no return statement or returns with no value
How does a function differ from a procedure in JavaScript? | A function returns a value using a return statement. A procedure performs actions but does not return a value (no return statement or return with no value)
Write the syntax for defining a function in JavaScript | function functionName(parameter1, parameter2) { // code block; return value; }
How do you call a function in JavaScript and store its result? | Assign the function call to a variable, e.g. const result = addNumbers(5, 10);
What is the purpose of the return statement in a JavaScript function? | It specifies the value that the function sends back to the code that called it, ending the function's execution
Name four best practices for writing functions and procedures | Choose descriptive names indicating purpose, use clear parameter names, keep functions short and focused, use explicit return statements with meaningful values for functions
What does document.getElementById() return? | The HTML element with the specified ID from the document's DOM
What is the DOM (Document Object Model)? | A programming interface that represents the structure of an HTML document as a tree of objects, allowing JavaScript to access and manipulate page content and structure
