What is a data type? | A classification of data into groups according to the kind of data they represent
Why is using global variables generally discouraged? | They can be unintentionally overwritten, make programs difficult to maintain, remain in memory throughout program execution, and make individual modules harder to test
When might global variables be appropriate? | For configuration settings, constants, or values that genuinely need to be shared across multiple parts of the program
What is an IDE? | An Integrated Development Environment — a software tool providing a comprehensive platform to write, edit, compile, debug, and manage code
An Integrated Development Environment that provides tools to write, compile, and debug code — what is this? | An IDE
What is syntax highlighting (pretty printing) in an IDE? | A feature that visually distinguishes different code elements (keywords, strings, comments, variables) using distinct colours or styles
What is autocomplete in an IDE? | A feature that suggests code completions as programmers type, including variable/function names and automatic bracket closure
What is auto-indent in an IDE? | A feature that automatically indents code when starting a new line within a code block (e.g. inside loops or conditions)
What are breakpoints in an IDE? | Markers set at specific lines of code that halt program execution during runtime, allowing developers to inspect the program state
Markers that halt program execution at specific lines during runtime — what IDE feature is this? | Breakpoints
What is the variable watch window in an IDE? | A debugging tool that allows developers to monitor the values of specific variables during runtime as the program executes
What is stepping mode in an IDE? | A debugging mode that executes the program one line at a time, allowing examination of function calls and control flow
What is a crash dump / post-mortem report? | A report generated when a program crashes that captures the program's state and memory contents at the time of the crash
What does the stack contents tool in an IDE show? | The order in which functions were called and the parameters and local variables of each function on the call stack
Name three IDE features useful for writing code | Syntax highlighting, autocomplete, and auto-indent
Name three IDE features useful for debugging code | Breakpoints, variable watch window, and stepping mode
What is a class in OOP? | A template for an object that defines the state (attributes) and behaviour (methods) of an object
A template that defines the state and behaviour of an object — what is this in OOP? | A class
What is an object in OOP? | A particular instance of a class, created through instantiation, with its own set of attribute values
A particular instance of a class — what is this called? | An object
What is instantiation? | The process of creating an object from a class
The process of creating an object from a class — what is this called? | Instantiation
What are attributes in OOP? | Properties that define the state (data) of an object, typically declared as private
Properties that define the state of an object — what are these called in OOP? | Attributes
What are methods in OOP? | Functions defined within a class that describe the actions or behaviour an object can perform
Functions that describe the actions an object can perform — what are these called in OOP? | Methods
What is a constructor in OOP? | A special method (procedure) that is called when an object is instantiated, used to initialise the object's attribute values
A special method called when an object is instantiated to initialise its attributes — what is this? | A constructor
What does the keyword 'new' do in OOP pseudocode/Java? | It creates a new instance (object) of a class by calling the constructor
What is inheritance in OOP? | When a subclass (derived class) acquires the attributes and methods of a superclass (base class), extending or modifying them as needed
A subclass acquiring attributes and methods from a superclass — what OOP concept is this? | Inheritance
What is the purpose of the 'super' keyword in inheritance? | It calls the constructor of the parent (base) class to inherit its attributes
In Java, what keyword is used for a class to inherit from another class? | extends (e.g. class Car extends Vehicle)
In Python, how is inheritance indicated? | By placing the parent class name in parentheses after the child class name (e.g. class Car(Vehicle))
What is encapsulation in OOP? | A technique where attributes are declared as private and can only be accessed or modified through public methods (getters and setters)
Attributes declared as private, accessed only through public methods — what OOP concept is this? | Encapsulation
Why is encapsulation important? | It implements information hiding — protecting data from being accidentally edited by other parts of the program, reducing complexity
What is a getter (get method) in encapsulation? | A public method that retrieves and returns the value of a private attribute
What is a setter (set method) in encapsulation? | A public method that sets or updates the value of a private attribute, often with validation
How does a getter differ from a setter? | A getter retrieves and returns a private attribute's value (read access), while a setter modifies a private attribute's value (write access), often with validation
What is polymorphism in OOP? | When objects of different classes can be treated as objects of a common superclass, with each subclass providing its own implementation of a method
Objects of different subclasses responding differently to the same method call — what OOP concept is this? | Polymorphism
What is run-time polymorphism? | When a subclass overrides a method defined in a superclass, and the correct version of the method is determined at run-time based on the actual object type
What is method overriding? | When a subclass provides its own implementation of a method that is already defined in its superclass
A subclass providing its own implementation of a method already defined in the superclass — what is this called? | Method overriding
In the Animal/Dog/Cat polymorphism example, why does make_sound(myDog) output "Woof"? | Because myDog is a Dog object, and Dog overrides the speak() method from Animal with its own version that outputs "Woof" — the method call is resolved at run-time based on the actual object type
What does the @Override annotation indicate in Java? | That the method is overriding a method from the superclass
How does information hiding relate to encapsulation? | Encapsulation implements information hiding by making attributes private and controlling access through public methods, preventing other parts of the program from accidentally modifying data
What is the difference between public and private access modifiers? | Public members can be accessed by any class or object, while private members can only be accessed within the class they are defined in
In Python, how are private attributes conventionally indicated? | By prefixing the attribute name with double underscores (e.g. self.__number)
How do the four OOP concepts (classes, inheritance, encapsulation, polymorphism) work together? | Classes define templates with attributes and methods. Inheritance allows subclasses to reuse and extend parent class features. Encapsulation hides internal data behind public methods. Polymorphism allows different subclasses to respond differently to the same method call.
How does a switch/case statement differ from an if...elseif...else statement? | Switch/case compares one expression against multiple constant values (good for many fixed options). If/elseif/else tests conditions sequentially (more flexible, supports ranges and complex conditions).
How does a for loop differ from a while loop? | A for loop is count-controlled (repeats a known number of times using a counter), while a while loop is condition-controlled (repeats until a condition becomes false, number of iterations may be unknown)
How does a function differ from a procedure in terms of return values? | A function must always return a value. A procedure performs actions but does not return a value back to the calling code.
How do global and local variables differ in terms of memory usage? | Global variables remain in memory for the entire program execution. Local variables are destroyed when their block of code ends, freeing memory.
How does passing by value differ from passing by reference in terms of memory efficiency? | By value creates a copy (higher memory usage, especially for large data). By reference passes the memory address (no copy needed, more memory efficient).
How does recursion differ from iteration in terms of memory usage? | Recursion creates a new stack frame for each call (higher memory usage, risk of stack overflow). Iteration reuses the same memory space within a loop (more memory efficient).
What is the call stack? | A last-in-first-out data structure that stores details about the order in which subroutines have been called, including parameters, local variables, and return addresses
A last-in-first-out data structure storing details about subroutine calls — what is this? | The call stack
What is tail recursion? | A form of recursion implemented more efficiently where less stack space is required, because the recursive call is the last operation in the function
