What does RISC stand for? | Reduced Instruction Set Computer
Multiple processing elements performing the same operation on different data points at the same time — what type of processing is this? | SIMD (Single Instruction Multiple Data) processing
Why do GPUs support SIMD processing? | GPUs were originally designed to perform the same operations on multiple pixels or vertices simultaneously, which is inherently a SIMD workload
Give three non-graphics uses of GPUs | Any three from: 3D modelling, data modelling, financial modelling, data mining, complex numerical calculations, numerical simulations, solving differential equations, machine learning
Why are GPUs suited to machine learning? | Training involves massive amounts of data and many matrix multiplications that can be performed in parallel across the GPU's many cores
Why are GPUs suited to data mining? | Data mining requires sorting, searching, pattern recognition, and statistical analysis on large datasets — tasks that can be parallelised across many GPU cores
Why are GPUs suited to financial modelling? | Financial modelling involves running many simulations (e.g. risk modelling, option pricing) which can be executed in parallel on a GPU
How are GPU cores different from CPU cores? | GPU cores are smaller and more numerous, optimised for parallel processing; CPU cores are fewer but larger, optimised for serial processing
Name three benefits of using a GPU alongside a CPU | Parallel processing (handles many tasks simultaneously), speed (faster for parallelisable tasks), efficiency (more calculations per unit of power for parallel tasks)
Why is it not possible to use only a GPU without a CPU? | The CPU is needed to assign tasks to the GPU — the GPU supplements the CPU but cannot manage the overall system on its own
What is parallel processing? | When a computer uses multiple cores or processors to work on tasks simultaneously
In parallel processing, how can multiple cores be used? | Each core can work on the same task to complete it faster, or each core can work on separate tasks at the same time
What is a multicore system? | A system with more than one processing unit (core) in a single processor, where each core can independently process instructions at the same time
A single processor chip containing multiple independent processing units that can execute instructions simultaneously — what is this called? | A multicore system
Besides using multiple cores in one processor, how else can parallel processing be achieved? | By utilising more than one processor, such as a CPU and a GPU working together
What is threading in the context of parallel systems? | A technique that allows a single core to work on multiple tasks by interleaving their execution, achieving a form of parallel processing
How do multi-core systems compare to parallel systems (threading) for large projects? | Multi-core systems generally perform better than threading-based parallel systems for larger projects
Name a benefit of parallel processing related to speed | If a task can be divided into subtasks executed simultaneously, the total execution time can be reduced
What limits the maximum speed improvement from parallel processing, even with infinite processors? | Parts of the program that cannot be parallelised create a bottleneck — there is always a limit on maximum speedup if any section must run serially
Why is writing code for parallel processing harder than serial processing? | Tasks must be synchronised correctly, data must be shared without conflicts, and the programmer must manage concurrent execution — adding significant complexity
Why is debugging parallel programs more difficult than serial programs? | Bugs can depend on the precise timing of events across multiple threads/cores, making them hard to reproduce and diagnose
What is a limitation of parallel processing related to communication? | Communication between processors can take significant time and resources, potentially outweighing the performance benefits of parallelisation
Give an example of a task that is not suitable for parallel processing | Any task that must be executed serially — where each step depends on the result of the previous step and cannot be broken into independent subtasks
How do multicore processors benefit multitasking? | Each core can work on a different task, so multiple applications can run simultaneously without competing for a single core
How do multicore processors help with background tasks? | A background task (e.g. anti-malware scan) can be assigned to one core, reducing its impact on the user's other tasks running on other cores
How do multicore processors improve system responsiveness? | If one program becomes unresponsive, other cores continue running their tasks, so the whole system does not slow down
How does parallel processing differ from multicore processing? | Parallel processing is the general concept of executing tasks simultaneously; multicore processing specifically achieves this by having multiple cores within a single processor chip
How do RISC and CISC differ in terms of compiler complexity? | RISC compilers are more complex (must break tasks into many simple instructions); CISC compilers are simpler (can use single complex instructions for tasks)
