What is an integer data type? | Represents whole numbers, positive or negative (e.g. 10, -5, 0)
What happens when a parameter is passed by value (byVal)? | A copy of the value is passed to the subroutine; changes inside do not affect the original
What happens when a parameter is passed by reference (byRef)? | The memory address is passed to the subroutine; changes inside directly affect the original value
In OCR pseudocode, how is the parameter passing method indicated? | Using byVal and byRef after the parameter name (e.g. function multiply(x:byVal, y:byRef))
What should you assume about parameter passing in OCR exams if not stated? | Parameters are passed by value
Why might passing by reference be preferred for large data structures? | It avoids copying the data, reducing memory usage and improving efficiency
Why might passing by value be preferred for data protection? | The original data cannot be modified by the subroutine, preventing unintended side effects
What is an IDE? | An Integrated Development Environment: a program providing tools for writing, developing, and debugging code
A program providing an integrated set of tools for writing, developing, and debugging code -- what is this? | IDE (Integrated Development Environment)
What is stepping in an IDE? | Executing a program one line at a time to monitor the effect of each individual line
What is a variable watch in an IDE? | A feature to observe how the contents of a variable change in real-time during execution
What is a breakpoint in an IDE? | A marker at a line of code where execution pauses, allowing inspection of the program's state and variables
What is syntax highlighting (pretty printing) in an IDE? | Using different colours to visually distinguish code elements such as keywords, strings, comments, and variables
What does autocomplete do in an IDE? | Suggests code completions as the programmer types, such as variable names, function names, or closing brackets
What is auto-indent in an IDE? | Automatically indenting code when entering a new line within a code block to show program structure
What does the error message list show in an IDE? | Errors, warnings, and messages from compilation or execution, with descriptions and code locations
What is a class in OOP? | A template for creating objects that defines their attributes and methods
A template defining the attributes and methods from which objects are created -- what OOP concept is this? | Class
What is an object in OOP? | A particular instance of a class, created through instantiation, with its own attribute values
A particular instance of a class with its own attribute values -- what is this? | Object
What is instantiation? | The process of creating an object from a class
The process of creating an object from a class -- what is this called? | Instantiation
What is a constructor in OOP? | A special method called when an object is instantiated, used to initialise its attributes with given values
What do attributes represent in a class? | The state (properties) of an object
What do methods represent in a class? | The behaviour (actions) an object can perform
What is encapsulation in OOP? | Declaring attributes as private so they can only be accessed or modified through public methods
Declaring attributes as private and accessing them only through public methods -- what OOP principle is this? | Encapsulation
What is information hiding? | Reducing program complexity by protecting data from being accidentally edited by other parts of the program
Protecting data from accidental modification to reduce program complexity -- what principle is this? | Information hiding
How does top-down design relate to encapsulation? | Both use the same principle: each component (module or object) is designed to be self-contained, hiding internal details
What is a getter (accessor) method? | A public method that retrieves the value of a private attribute
What is a setter (mutator) method? | A public method that updates the value of a private attribute, often including validation before making the change
What is inheritance in OOP? | A subclass (derived class) acquires the attributes and methods of a superclass (base class), allowing code reuse and extension
A subclass acquiring attributes and methods from a superclass -- what OOP concept is this? | Inheritance
What does the super keyword do in a subclass constructor? | Calls the superclass constructor to inherit and initialise the parent class's attributes
What is polymorphism in OOP? | Objects of different classes responding to the same method call in different ways through method overriding
Different classes responding to the same method call in different ways -- what OOP concept is this? | Polymorphism
What is method overriding? | When a subclass provides its own implementation of a method already defined in its superclass
What is run-time polymorphism? | The correct version of an overridden method is determined at run-time based on the actual object type, not at compile-time
