What is distance? | The total length between two points (scalar quantity)
In the determination of g experiment, what graph is plotted? | 2h/t (y-axis) against t (x-axis)
In the graph of 2h/t against t, what does the gradient represent? | The acceleration due to gravity, g
In the graph of 2h/t against t, what does the y-intercept represent? | 2u, where u is the initial velocity of the ball-bearing
Name a systematic error in the determination of g experiment | Residual magnetism after the electromagnet is switched off may delay the release of the ball, causing t to be recorded as longer than it should be
Name three random errors in the determination of g experiment | Large uncertainty in h from using a metre ruler (precision 1 mm), parallax error when reading h, and the ball not falling accurately through the centre of each light gate
How are random errors reduced in the determination of g experiment? | By repeating the experiment at least 3-5 times for each value of h and calculating an average time
How is the uncertainty in g calculated from the graph? | Find the difference in gradient between the line of best fit and the line of worst fit, then divide by the gradient of the line of best fit
What is the line of worst fit? | The steepest (or shallowest) straight line that still passes through all the error bars on the graph
How do you calculate the error bars for 2h/t? | Add the percentage uncertainty in h (half the resolution of the metre ruler) and the percentage uncertainty in t (half the range of repeated values)
Name two safety precautions in the determination of g experiment | Use a cushion beneath the glass tube to catch the ball-bearing, and only switch on the electromagnet current after the apparatus is fully set up (to reduce electrocution risk)
Why is a glass tube used in the determination of g experiment? | To guide the ball-bearing vertically downwards, ensuring it falls through both light gates
How does a displacement-time graph for constant velocity differ from one for increasing velocity? | Constant velocity produces a straight diagonal line (constant gradient). Increasing velocity produces a curved line with an increasing gradient
How does a displacement-time graph for increasing velocity differ from one for increasing acceleration? | Increasing velocity at constant acceleration gives a curve that gets steadily steeper. Increasing acceleration gives a curve that gets steeper at an increasing rate (more sharply curved)
For a horizontal projection problem, what is the initial vertical velocity? | Zero, because the object is launched horizontally
In a horizontal projection, how do you find the time of flight? | Use vertical motion only: s = ½gt² (since u = 0 vertically), rearranged to t = √(2s/g), where s is the vertical drop height
In a horizontal projection, how do you find the launch speed? | First find the time of flight from vertical motion. Then use horizontal motion: speed = horizontal distance / time (since horizontal acceleration is zero)
How do you convert km h⁻¹ to m s⁻¹? | Divide by 3.6, or equivalently multiply by 1000 and divide by 3600
How does the displacement-time graph of a bouncing ball look (ignoring air resistance)? | A series of identical inverted parabolas, each reaching the same maximum height and returning to zero displacement
How does the velocity-time graph of a bouncing ball look (ignoring air resistance)? | A series of straight lines with constant negative gradient (-g). Velocity decreases linearly from positive (upward) to negative (downward), with instantaneous sign changes at each bounce
How does the acceleration-time graph of a bouncing ball look (ignoring air resistance)? | A horizontal line at -9.81 m s⁻² (constant downward acceleration due to gravity), with brief spikes at each bounce point where the velocity changes direction instantaneously
