What is the electronvolt? | The energy gained by an electron travelling through a potential difference of one volt
Increasing the intensity of incident radiation increases what two things in the photoelectric effect? | The number of photons incident on the metal plate, and the number of photoelectrons emitted (photoelectric current)
What does the photoelectric equation state? | hf = Φ + Ek(max), meaning the photon energy equals the work function plus the maximum kinetic energy of the emitted photoelectron
Write the photoelectric equation in its expanded form | E = hf = Φ + ½mv²(max)
In the photoelectric equation hf = Φ + Ek(max), what does each symbol represent? | h = Planck's constant (J s), f = frequency of incident radiation (Hz), Φ = work function of the material (J), Ek(max) = maximum kinetic energy of photoelectrons (J)
What happens to the photon energy that is not used to overcome the work function? | It is transferred as kinetic energy to the photoelectron
At the threshold frequency, what is the relationship between photon energy and work function? | hf₀ = Φ (all the photon energy is used to overcome the work function, so Ek(max) = 0)
Does the maximum kinetic energy of photoelectrons depend on the intensity of the incident radiation? | No, Ek(max) depends only on the frequency of the incident photon and the work function of the metal
Why do the majority of photoelectrons have kinetic energies less than Ek(max)? | Electrons deeper in the metal use some absorbed photon energy to reach the surface, leaving less kinetic energy. Only surface electrons achieve maximum kinetic energy
Which photoelectrons have the maximum kinetic energy, and why? | Surface electrons, because they do not need to use any energy travelling to the surface before escaping
How can the photoelectric equation be rearranged into the form y = mx + c? | Ek(max) = hf − Φ, which has the form y = mx + c
On a graph of Ek(max) against frequency f, what does the gradient represent? | Planck's constant (h)
On a graph of Ek(max) against frequency f, what does the y-intercept represent? | The negative of the work function (−Φ)
On a graph of Ek(max) against frequency f, what does the x-intercept represent? | The threshold frequency (f₀)
The kinetic energy of photoelectrons is independent of the [...] of the incident radiation | intensity
Explain why increasing the number of photons does not increase the kinetic energy of photoelectrons | Each electron absorbs only one photon, so increasing the number of photons (intensity) only increases the number of photoelectrons emitted, not the energy each one receives
What is photoelectric current? | A measure of the number of photoelectrons emitted per second
Photoelectric current is proportional to which property of the incident radiation? | The intensity of the incident radiation
Explain why photoelectric current is proportional to intensity | Intensity is proportional to the number of photons striking the metal per second. Since each photoelectron absorbs a single photon, more photons means more photoelectrons emitted per second
What is the equation for intensity in terms of photon properties? | I = nhf / tA, where n = number of photons, h = Planck's constant, f = frequency, t = time, A = area
Explain why increasing frequency while keeping intensity constant causes photoelectric current to decrease | At higher frequency, each photon has more energy (E = hf). To maintain constant intensity (energy per unit area per unit time), fewer photons must be emitted. Fewer photons means fewer photoelectrons, so the current decreases
If you change the frequency while keeping the number of photons constant, what happens to the photoelectric current? | It remains constant, because the same number of photons still produces the same number of photoelectrons
How does the photoelectric effect demonstrate that light is quantised? | Each electron absorbs only one photon. Below the threshold frequency, no electrons are emitted regardless of intensity, showing that light energy comes in discrete packets rather than as a continuous wave
How do the concepts of threshold frequency and work function relate to each other? | They represent the same energy threshold expressed differently: Φ = hf₀. The work function is the minimum energy, and the threshold frequency is the minimum frequency of a photon that provides this energy
How does stopping potential differ from work function? | The work function (Φ) is the minimum energy needed to release an electron from the metal. The stopping potential (Vₛ) is the p.d. needed to prevent emitted electrons from reaching the collector, and it measures their maximum kinetic energy (Ek(max) = eVₛ), not the work function directly
