What is compression? | The process of reducing the storage space required by a file
How does dictionary encoding reduce file size? | Frequently occurring words or phrases are replaced with short index values, and the dictionary mapping indices to original data is stored alongside the compressed data
Why must compressed data from dictionary encoding be transferred alongside its dictionary? | Without the dictionary, the index codes cannot be converted back to the original data, making the compressed data unusable
How does RLE differ from dictionary coding? | RLE replaces consecutive identical values with a value-count pair, working best with highly repetitive sequences. Dictionary coding replaces recurring patterns (not necessarily consecutive) with index codes from a dictionary, making it more versatile but requiring more computational resources
What is encryption? | The process of converting readable data (plaintext) into an unreadable format (ciphertext) to keep it secure during transmission
The process of converting readable data into an unreadable format to secure it from unauthorised access — what is this called? | Encryption
What are the two main types of encryption? | Symmetric encryption and asymmetric encryption
What is symmetric encryption? | An encryption method where both the sender and receiver share the same single private key, used for both encrypting and decrypting data
An encryption method where the same key is used for both encryption and decryption — what type of encryption is this? | Symmetric encryption
What is a key exchange in symmetric encryption? | The process by which the sender and receiver distribute the shared private key to each other
What is the main vulnerability of symmetric encryption? | If the private key is intercepted during the key exchange, an attacker can decrypt all intercepted communications
Symmetric encryption is usually [...] than asymmetric encryption, making it ideal for encrypting [...] amounts of data | faster; large
What is asymmetric encryption? | An encryption method that uses two mathematically related keys: a public key for encryption and a private key for decryption
An encryption method that uses a public key for encryption and a separate private key for decryption — what type of encryption is this? | Asymmetric encryption
What is a key pair in asymmetric encryption? | The public key and private key together, which are mathematically related and created at the same time
In asymmetric encryption, who can see the public key? | Anyone — the public key can be published openly
In asymmetric encryption, who should have access to the private key? | Only the owner (the recipient) — it must be kept secret
Explain how asymmetric encryption works when sending a secure message | The sender encrypts the message using the recipient's public key. Only the recipient's private key can decrypt it, so even if the message is intercepted, it cannot be read without the private key
How can asymmetric encryption be used for digital signatures? | The sender encrypts a message with their own private key. Anyone can decrypt it using the sender's public key, which proves the sender must have encrypted it since only they have access to the private key
What is the basis of a digital signature system? | Asymmetric encryption — the sender encrypts with their private key, and anyone can verify it using the sender's public key, proving the message came from the sender
How does symmetric encryption differ from asymmetric encryption? | Symmetric uses one shared key for both encryption and decryption, making it faster but vulnerable during key exchange. Asymmetric uses a public-private key pair, solving the key distribution problem but being slower
When is symmetric encryption most suitable? | For encrypting large files or databases within a secure network where key distribution is not an issue, or when the same person encrypts and decrypts (e.g. backups)
When is asymmetric encryption most suitable? | For confidential communications requiring high security, such as passwords, banking details, and government communications, where secure key distribution is critical
Explain why asymmetric encryption solves the key distribution problem of symmetric encryption | In asymmetric encryption, the public key can be shared openly without compromising security because only the private key (never transmitted) can decrypt messages encrypted with the public key
What is hashing? | A process in which an input (called a key) is converted by a hash function into a fixed-size value (called a hash or digest)
A process that converts any input into a fixed-size output using a hash function — what is this called? | Hashing
The fixed-size output of a hash function is often called a [...] | digest (or hash)
How does hashing differ from encryption? | Hashing is a one-way process that cannot be reversed to recover the original input. Encryption is reversible — encrypted data can be decrypted back to the original using a key
Explain why hashing is useful for storing passwords | When a user enters a password, it is hashed and the hash is stored (not the plaintext). At login, the entered password is hashed and compared to the stored hash. Even if the database is breached, attackers only get hashes which cannot be reversed to reveal the original passwords
Describe the process of password verification using hashing | The user enters their password, the system hashes it, then compares this hash against the stored hash in the database. If the hashes match, access is granted; if not, access is denied
What is a hash table? | A data structure that holds key-value pairs, formed from a bucket array and a hash function, allowing data lookup in constant time
A data structure that uses a hash function and bucket array to store key-value pairs for constant-time lookup — what is this called? | A hash table
Explain why hash tables provide constant-time data retrieval | The hash function converts the key directly into an index in the bucket array, so the data can be accessed immediately without searching through other elements
Give two examples of where hash tables are used | Caches and databases
What is a hash collision? | When two different inputs (keys) produce the same hash value from the hash function
When two different keys produce the same hash value — what is this called? | A collision
Name two methods for resolving hash collisions | Storing items together in a list (chaining) under the same hash value, or using a second hash function to generate a new hash (rehashing/open addressing)
What three properties should a good hash function have? | Low chance of collision, quick to calculate, and output smaller than the input
Why should a hash function produce an output smaller than the input? | If the hash is larger than the key, searching for the hash could take longer than simply searching for the key, negating the performance benefit
The same input will always produce the [...] hash, providing consistency | same
Even a minor change in input produces a [...] different hash | radically (completely)
Name three common hashing algorithms | MD5 (Message Digest 5), SHA-1 (Secure Hash Algorithm 1), SHA-256 (part of the SHA-2 family)
Why is MD5 considered weak? | It has known vulnerabilities to collision attacks, meaning different inputs can be made to produce the same hash
Why is SHA-1 now considered weak? | It was found to have vulnerabilities, despite previously being used in SSL certificates and software repositories
SHA-256 is part of the [...] family and is commonly used in [...] applications and data integrity checks | SHA-2; cryptographic
What is the most recent member of the Secure Hash Algorithm family, designed for higher security? | SHA-3
Hashing can verify data integrity because the same data hashed by the same function always produces the [...] | same digest — so if two hashes match, the data has not been altered
Why is comparing hash digests more efficient than comparing the original data directly? | Hash digests have a fixed length, making comparison computationally less intensive than comparing variable-length strings
In a hash table, data is inserted by using it as the [...] for the hash function and storing it in the [...] corresponding to the hash | key; bucket
How does encryption differ from hashing in terms of reversibility? | Encryption is reversible (ciphertext can be decrypted back to plaintext using a key). Hashing is irreversible (the hash cannot be reversed to recover the original input)
How does encryption differ from hashing in terms of keys? | Encryption uses keys for both encryption and decryption. Hashing does not use keys
How does encryption differ from hashing in terms of output length? | Encryption output length varies and could be the same or longer than the input. Hashing always produces a fixed-length output
