What is a programming paradigm? | An approach to using a programming language to solve a problem
Why is indexed addressing useful? | It allows an offset to access data stored contiguously in memory, such as elements in an array
Why are addressing modes needed? | They allow a much greater number of memory locations to be accessed than the fixed size of the operand would otherwise permit
What is a class in OOP? | A template (blueprint) that defines the attributes and methods that objects created from it will have
A template defining the attributes and methods that its objects will have — what OOP term is this? | Class
What is an object in OOP? | A specific instance of a class with its own attribute values
A specific instance of a class with its own attribute values — what OOP term is this? | Object
What is instantiation? | The process of creating an object from a class
The process of creating an object from a class — what OOP term is this? | Instantiation
What are attributes in OOP? | Properties of an object, defined as variables within a class, that represent the state of the object
What is the difference between class variables and instance variables? | Class variables are the attribute definitions in the class template; instance variables are the specific values those attributes hold in an individual object
What are methods in OOP? | Functions or procedures associated with a class that define the actions (behaviour) an object can perform
How does a function differ from a procedure in OOP? | A function returns a value; a procedure does not return a value
What is a constructor in OOP? | A special method called when a new object is created, which sets the initial values of its attributes
What is a getter method? | A method that retrieves (returns) the value of a specific attribute
What is a setter method? | A method that sets (updates) the value of a specific attribute
What notation is used to call a method on an object? | Dot notation: objectName.methodName()
What does the private access modifier mean in OOP? | The attribute or method can only be accessed from within its own class
What does the public access modifier mean in OOP? | The attribute or method can be accessed from within its own class and from external classes
What is encapsulation in OOP? | Declaring attributes as private so they cannot be directly accessed externally, and providing public methods (getters/setters) to interact with them
Attributes are private and can only be accessed through public methods — what OOP principle is this? | Encapsulation
Why is encapsulation used in OOP? | It protects attributes from accidental or unauthorised modification, making code more reliable
What is inheritance in OOP? | A subclass takes on all the methods and attributes of a superclass, and can add its own additional properties
A subclass gains all methods and attributes from a superclass — what OOP concept is this? | Inheritance
What is a superclass in OOP? | The parent class from which another class inherits methods and attributes
What is a subclass in OOP? | A class that inherits methods and attributes from a superclass and can add its own additional properties
How is inheritance expressed in OCR pseudocode? | class SubclassName inherits SuperclassName
What is the purpose of the super keyword in OOP? | To reference the superclass and access its methods, attributes, or constructors from within a subclass
What is polymorphism in OOP? | Objects can behave differently depending on their class, so the same method name can produce different outputs for different objects
Objects of different classes respond differently to the same method call — what OOP concept is this? | Polymorphism
What is method overriding in OOP? | Redefining a method in a subclass so it produces different behaviour from the version in the superclass
What is method overloading in OOP? | Defining a method that accepts different sets of parameters, producing different results depending on the arguments passed
How does method overriding differ from method overloading? | Overriding redefines a method in a subclass to change its behaviour; overloading defines multiple versions of a method that accept different parameters
How does OOP promote code reusability? | Inheritance allows subclasses to reuse methods and attributes from superclasses, and classes can be reused across multiple projects
Why does encapsulation make OOP programs more reliable? | Attributes are declared private and can only be modified through controlled public methods, preventing direct external modification
Why does OOP require advance planning? | The programmer must design how the problem is broken down into classes and how they relate to each other before coding
Why does OOP's modular structure aid maintenance? | Each class can be developed, tested, and updated independently of others
Why is OOP generally unsuitable for small problems? | The overhead of designing class structures is not justified when few components are reused, potentially producing longer, less efficient code
