What is time complexity? | A measure of how many operations or steps an algorithm requires relative to its input size
How are two sorted sub-lists merged in merge sort? | A pointer for each sub-list tracks the next element to compare. The smaller value is placed into the new list and its pointer incremented, continuing until all elements are merged
What is the base case for recursion in merge sort? | A sub-list containing only one element
What is a quick sort? | A divide and conquer algorithm that selects a pivot, partitions elements into those less than and greater than the pivot, then recursively sorts both partitions
What is the best and average-case time complexity of quick sort? | O(n log n)
What is the worst-case time complexity of quick sort? | O(n²)
What causes quick sort's worst-case O(n²) performance? | Consistently poor pivot selection, such as always choosing the smallest or largest value, or sorting already-sorted data
What is the space complexity of quick sort? | O(n) — sub-lists and recursive call frames consume additional memory on the stack
What is the role of the pivot in quick sort? | It partitions the list into two groups (less than and greater than the pivot). After partitioning, the pivot occupies its final sorted position
What can happen if quick sort's recursion depth becomes too large? | A stack overflow, caused by too many recursive calls from deeply unbalanced partitions
What is Dijkstra's shortest path algorithm? | An optimisation algorithm that finds the shortest path from a starting node to all other nodes in a weighted graph
An optimisation algorithm that finds the shortest path from a starting node to all other nodes in a weighted graph — what is it? | Dijkstra's shortest path algorithm
What is an optimisation problem? | A problem requiring the maximisation of a solution's efficiency, such as finding the shortest route or minimising resource usage
What type of graph does Dijkstra's algorithm operate on? | A weighted graph, where edges carry values representing a measurement such as distance, time, or cost
What initial distance values are assigned in Dijkstra's algorithm? | The start node is set to 0 and all other nodes are set to infinity
When is a neighbour's distance updated in Dijkstra's algorithm? | When the current node's distance plus the edge weight to the neighbour is less than the neighbour's existing stored distance
Which node does Dijkstra's algorithm visit next? | The unvisited node with the lowest current distance value
How is the shortest path reconstructed after Dijkstra's completes? | By backtracking through each node's recorded previous node, from the destination to the start
What is the A* search algorithm? | A path-finding algorithm that extends Dijkstra's by adding a heuristic estimate of remaining distance to the goal, directing the search toward the destination
A path-finding algorithm that extends Dijkstra's with a heuristic to focus the search on a specific goal — what is it? | A* search algorithm
What is a heuristic in the context of the A* algorithm? | An estimate that approximates the straight-line (Euclidean) distance from the current node to the goal node
An estimate that approximates the straight-line distance from a node to the goal — what term is this? | Heuristic
What is the formula for the total cost of a node in A*? | f(x) = g(x) + h(x), where g(x) is the actual distance from the start and h(x) is the heuristic estimate to the goal
What constraint must the A* heuristic satisfy to guarantee an optimal path? | It must never overestimate the actual cost to the goal (the real cost must always be greater than or equal to h(x))
How does A* differ from Dijkstra's in when it terminates? | A* stops when the goal node is reached, whereas Dijkstra's continues until shortest paths to all nodes are calculated
In A*, what does an increase in h(x) from one node to the next indicate? | The algorithm is moving further away from the goal node
