What is application software? | Software designed to be used by the end-user to perform one or more specific tasks
What is a linker? | A piece of software responsible for linking external modules and libraries included within the code into a single executable
Software that combines object files and external libraries into a single executable — what is this? | A linker
What is static linking? | Modules and libraries are added directly into the main executable file at compile time
What is dynamic linking? | The addresses of modules and libraries are included in the file; the code is retrieved from those addresses at runtime by the loader
How does static linking differ from dynamic linking? | Static linking adds library code directly into the executable, increasing file size but making it self-contained. Dynamic linking stores only addresses of libraries, keeping files small and allowing external updates to feed through, but requiring the libraries to be present at runtime
Give one advantage and one disadvantage of static linking | Advantage: a specific version of a library can be guaranteed, and the program is self-contained. Disadvantage: increases the file size
Give one advantage and one disadvantage of dynamic linking | Advantage: files remain small and external updates automatically feed through. Disadvantage: the required library must be present at runtime
What is a loader? | A program provided by the operating system that retrieves a program, library or subroutine from a given memory location and loads it into memory for execution
A program provided by the OS that loads executable files into memory so they can be run — what is this? | A loader
What are libraries in programming? | Pre-compiled collections of reusable code (functions, classes, procedures) that can be incorporated into other programs using static or dynamic linking
Pre-compiled, ready-to-use, error-free programs that can be incorporated into other programs — what are these? | Libraries
Give three advantages of using libraries | They are ready-to-use and error free (saving testing time); they save development time; they can be reused within multiple programs
Why do libraries save programmers from having to 'reinvent the wheel'? | Libraries provide specialised, pre-written functions (e.g. mathematical or graphical functions) that would otherwise require significant time and effort to develop from scratch, allowing programmers to use others' expertise
Give two drawbacks of using libraries | Dependency issues if the library is discontinued or unmaintained; compatibility issues with different versions; using a large library for a small task adds unnecessary complexity and size (any two)
What role does the loader play in dynamic linking? | When the program is run, the loader retrieves the library or subroutine from the specified memory address so it can be executed
What is parsing in the context of compilation? | The process used to check each line of code is well-formed according to the grammar rules of the programming language (occurs during syntax analysis)
