What is an array? | An ordered, finite (static) set of elements of a single data type
How does a breadth-first graph traversal work? | Uses a queue: visit the start node, enqueue all unvisited neighbours, dequeue the front node, mark it as visited, and repeat until all nodes are visited
How does a depth-first graph traversal work? | Uses a stack: visit the start node, push unvisited neighbours onto the stack, pop the top node, mark it as visited, and repeat until all nodes are visited
How does breadth-first graph traversal differ from depth-first? | Breadth-first uses a queue and explores all neighbours of a node before moving deeper. Depth-first uses a stack and explores as far as possible along each branch before backtracking
What is a hash table? | An associative array coupled with a hash function that maps keys to indices in the array
An array coupled with a hash function that maps keys to index positions — what data structure is this? | A hash table
What does a hash function do? | Takes in data (a key) and produces an output (the hash) that maps the key to an index in the hash table
What is a collision in a hash table? | When two different inputs produce the same hashed value (same index)
What is collision resolution? | The process of handling a collision, typically by placing the item in the next available location (linear probing) or using chaining
What is linear probing? | A collision resolution method where, if a collision occurs, the data is placed in the next free position in the hash table by checking subsequent slots sequentially
What is chaining? | A collision resolution method where each hash table position stores a pointer to a linked list of all items that hash to that index
Why are hash tables used for indexing? | They provide fast access to data because keys have a unique, one-to-one relationship with the address where they are stored
What property should a good hashing algorithm have? | A low probability of collisions occurring
In the best case, what is the time complexity of retrieving data from a hash table? | Constant time (one operation to find the item)
How does linear probing degrade hash table performance? | Many collisions cause items to be stored far from their hashed position, requiring sequential checking and reducing search efficiency
How does retrieving data work with linear probing after a collision? | Hash the key to get the index, check if the key matches, if not check subsequent positions until the matching key is found or an empty bucket is reached
How does retrieving data work with chaining after a collision? | Hash the key to get the index, follow the linked list at that position, checking each node's key until a match is found or the list ends
What is rehashing? | Creating a new (often larger) hash table and re-inserting all existing items using the hash function, to improve performance when the table becomes too full or has many misplaced items
How can character-based keys be hashed? | Convert each character to its ASCII value, sum the values, then apply a MOD function to fit within the table size
How does a static data structure differ from a dynamic data structure? | A static structure has a fixed size that cannot change at run time, while a dynamic structure can grow or shrink to accommodate changes in data
Give an example of a static data structure and a dynamic data structure | Array (static), Linked list (dynamic)
How does a graph differ from a tree? | A graph can have cycles and can be directed or undirected, while a tree has a hierarchy with parent-child relationships and no cycles
When should an array be used over a list? | When a fixed-size collection is needed with efficient random access by index, and all elements are the same data type
When should a list be used over an array? | When the collection needs to change in size dynamically, or elements of more than one data type need to be stored
What are three applications of tree data structures? | Managing folder structures, storing routing tables in routers, and speeding up searching using binary search trees
What are three applications of graph data structures? | Social networks, transport networks, and operating systems
What is the null pointer in a tree? | A pointer that shows a node does not point to another node, such as when a node has no children
