What is the Accumulator (ACC)? | A special register that temporarily stores the results of operations performed by the ALU
What is a Reduced Instruction Set Computer (RISC)? | A simpler processor design that executes a single simple instruction each clock cycle, using more RAM but allowing pipelining
A processor design using simple single-cycle instructions that enable pipelining but require more RAM — what is this? | RISC (Reduced Instruction Set Computer)
How does CISC differ from RISC? | CISC uses complex multi-task instructions (less RAM, no pipelining). RISC uses simple single-cycle instructions (more RAM, supports pipelining)
Why can RISC processors use pipelining but CISC processors cannot? | RISC instructions each take one clock cycle and have a uniform length, making it easy to overlap stages. CISC instructions vary in length and complexity, making pipeline stages uneven
What is a Graphic Processing Unit (GPU)? | A specialised processing unit with a huge number of small cores that allow efficient parallel computation for tasks such as graphics, machine learning, and data mining
A specialised processor with many small cores designed for efficient parallel computation — what is this called? | A GPU (Graphic Processing Unit)
What are multicore systems? | Systems where several CPU cores are incorporated into a single processor chip to help distribute workload
What is a parallel processing system? | A system that splits a job into several subtasks which are simultaneously carried out by each core
The approach of splitting a job into subtasks executed simultaneously across multiple cores — what is this called? | Parallel processing
What is flash storage? | A solid-state technology that stores data on a collection of memory chips with no moving parts, accessed by software
A solid-state storage technology using memory chips with no moving parts — what is this called? | Flash storage
What are input devices? | Peripheral devices that allow the user to pass readable data into a computer, which is decoded and sent to the CPU
Peripheral devices that allow users to communicate data to a computer for decoding and processing — what are these called? | Input devices
What is magnetic storage? | A storage method that relies on the polarisation of magnetic particles on a mechanically moved magnetic material, offering high capacity at low cost
A storage technology using polarised magnetic particles on a mechanically moved surface, with high capacity and low cost — what is this? | Magnetic storage
What is optical storage? | A storage method where data is stored in the reflectivity (pits and lands) of a surface, read and written by a laser
A storage method using pits and lands on a reflective surface, read and written by a laser — what is this? | Optical storage
What are output devices? | Peripheral devices that convert signals from a computer into a human-readable form
Peripheral devices that convert computer signals into human-readable form — what are these called? | Output devices
What is Random Access Memory (RAM)? | Volatile memory used to store programs and data currently in use, with quick access times but all data is lost when powered off
Volatile memory with quick access that stores currently running programs and data — what is this called? | RAM (Random Access Memory)
What is Read-Only Memory (ROM)? | Non-volatile memory used to store information permanently required to boot up and run the computer, which cannot be written to
Non-volatile memory that stores permanent boot-up instructions and cannot be written to — what is this called? | ROM (Read-Only Memory)
How does RAM differ from ROM? | RAM is volatile (data lost when powered off), writable, and stores programs currently in use. ROM is non-volatile (data retained without power), read-only, and stores permanent boot-up instructions
What is a storage device? | Any medium on which data can be stored even when powered off
What is virtual storage? | Using the hard disk as though it were an extension of memory to free up more RAM for current programs
The technique of using hard disk space as an extension of main memory to free up RAM — what is this called? | Virtual storage
How does flash storage differ from magnetic storage? | Flash storage uses memory chips with no moving parts (solid-state), offering faster access. Magnetic storage uses mechanically moved magnetic material, offering higher capacity at lower cost
How does optical storage differ from magnetic storage? | Optical storage uses a laser to read pits and lands on a reflective surface. Magnetic storage uses the polarisation of magnetic particles on a mechanically moved material
The three types of bus in a computer system are the [...], [...], and [...] | Address Bus, Data Bus, and Control Bus
Which bus type is unidirectional? | The Address Bus (it only sends addresses from the CPU to memory)
Which two buses are bi-directional? | The Data Bus and the Control Bus
