What is a class in OOP? | A blueprint or template used to create objects, defining their attributes and methods
Can local variables declared within a method have access modifiers? | No, because they are local to the method with limited scope and are not part of the class's state
What is the scope of a local variable? | It is only accessible within the block or method in which it is declared
What relationship does inheritance establish between classes? | An "IS-A" relationship (e.g., a Car IS-A Vehicle)
Inheritance establishes what type of relationship between a base class and a derived class? | An IS-A relationship
What is a base class (in the context of inheritance)? | The parent class or superclass that serves as the blueprint from which derived classes inherit attributes and methods
A parent class that defines common properties and behaviours shared among multiple child classes — what is this called? | A base class (also called superclass or parent class)
What is a derived class (in the context of inheritance)? | A child class or subclass that inherits the attributes and methods of a base class, and can add its own additional attributes and methods
A child class that inherits from a parent class and can add its own attributes and methods — what is this called? | A derived class (also called subclass or child class)
How does inheritance promote code reuse? | Derived classes can inherit and utilise existing code from the base class, avoiding the need to duplicate code
Can a derived class add new attributes and methods beyond those inherited? | Yes, a derived class can add additional attributes and methods on top of those inherited from the base class
What is the super keyword used for in inheritance? | To refer to the superclass (base class) and access its methods, attributes, or constructors from within the subclass
How does encapsulation protect data? | By making attributes private so they cannot be accessed directly from outside the class, and providing public methods to interact with them in a controlled way
What is abstraction in the context of encapsulation? | Hiding the internal implementation details of a class from external code, reducing complexity and making it easier to use
How does encapsulation relate to abstraction? | Encapsulation uses abstraction to hide implementation details — programmers can use methods and classes without understanding how they work internally
How does encapsulation promote code reusability? | The same object or class can be used in different parts of a program without rewriting the code, because its internal details are hidden behind a public interface
Give an example of encapsulation using a private attribute | A private attribute (e.g., distance) cannot be accessed directly from outside the class; instead, a public method (e.g., updateDistance()) is used to modify it
What is method overriding in polymorphism? | When a derived class provides a new implementation for a method that is already defined in the base class, replacing the inherited behaviour
The override keyword is used to provide a new implementation for a method already defined in the parent class — what concept does this demonstrate? | Method overriding (a form of polymorphism)
How does method overriding work with inheritance? | A derived class redefines a method inherited from the base class; when the method is called on a derived class object, the overridden version executes instead of the base class version
In polymorphism, what happens when a derived class object calls an overridden method? | The version of the method defined in the derived class executes, not the base class version
How does polymorphism allow objects of different classes to be treated as a common group? | Objects of derived classes can be stored in variables or arrays of the base class type (e.g., Vehicle v = new Car()), and calling methods on them will still execute the derived class's overridden version
What is the benefit of storing different derived class objects in a base class array? | It allows different object types (e.g., Car and Motorcycle) to be managed in a single data structure while each still executing its own overridden methods when called
Why does polymorphism make code more maintainable? | It allows new derived classes to be added without modifying existing code that works with the base class type, making the program more flexible and adaptable
How do encapsulation, inheritance, and polymorphism work together in OOP? | Encapsulation protects data within classes; inheritance allows classes to share common code; polymorphism allows different classes to respond differently to the same method call — together they enable modular, reusable, and flexible code
How does overriding differ from overloading? | Overriding replaces an inherited method's implementation in a derived class; overloading defines multiple methods with the same name but different parameters within the same class
What are getters and setters an example of in OOP? | Encapsulation — they are public methods that provide controlled access to private attributes
