What is application software? | Software designed to perform a specific task or tasks for an end-user
Why is compiled code generally less portable than interpreted code? | Compiled code is specific to a particular processor type and operating system. Interpreted code can run on any platform that has the appropriate interpreter available.
What type of translator does Python use? | Interpreter
What type of translator does C use? | Compiler
What type of translator does Java use? | Compiler
What type of translator does JavaScript use? | Interpreter
What type of translator does assembly language use? | Assembler
Why is assembly language considered a low-level language? | It is the next level up from machine code, with each line of assembly code corresponding to almost one line of machine code. Its instructions are dependent on the processor's instruction set.
Assembly code is translated on almost a [...] basis to machine code | one-to-one
Why is assembly code described as platform specific? | Because the instructions used are dependent on the instruction set of the specific processor
What are the four stages of compilation in order? | Lexical analysis, syntax analysis, code generation, optimisation
What is compilation? | The process of translating a program written in a high-level programming language into machine code that can be executed by a computer
What happens during lexical analysis? | Whitespace and comments are removed. The remaining code is broken into tokens (keywords, identifiers, operators, separators) and a token table is produced.
What is a token in the context of lexical analysis? | A small meaningful unit in the programming language, such as a keyword, identifier, operator, or separator
Give four types of token identified during lexical analysis | Keywords (e.g. var, if, return), identifiers (e.g. variable names), operators (e.g. +, *, =), and separators (e.g. commas, brackets, semicolons)
What is a token table? | A table produced during lexical analysis that records each token found in the source code along with its type
What is a symbol table? | A table created during compilation that stores information about each keyword or identifier, such as its name, type, and scope
What happens during syntax analysis? | Tokens are checked against the grammar and rules of the programming language. Syntax errors are flagged. If valid, an abstract syntax tree (AST) is produced.
Give two examples of syntax errors | Mismatched parentheses, missing semicolons, undeclared variable type, incomplete set of brackets
What is an abstract syntax tree (AST)? | A graph-based (tree) representation of the source code produced during syntax analysis, used as input for code generation
A tree-based representation of source code produced during syntax analysis — what is this called? | An abstract syntax tree (AST)
What is semantic analysis and when does it occur? | Semantic analysis detects logic mistakes within the program (e.g. multiple declarations, undeclared identifiers). It is carried out during the syntax analysis stage.
How do syntax errors differ from semantic errors? | Syntax errors break the grammatical rules of the language (e.g. missing bracket). Semantic errors are logic mistakes where the code is grammatically correct but meaningless or incorrect (e.g. using an undeclared variable).
What happens during code generation? | The abstract syntax tree is traversed to generate object code (machine code) that can be executed by the computer
What happens during the optimisation stage of compilation? | The code is modified to be more efficient without changing its functionality, e.g. removing redundant or duplicate code, reducing memory usage, and improving execution speed
Why is code optimisation important? | It reduces the memory required to run the code and leads to faster execution
Give one example of a common optimisation action | Removing duplicate code — if a function is written twice in the source code, the compiler includes it only once in the object code
What is a risk of excessive code optimisation? | It may alter the way in which the program behaves, introducing bugs
The optimisation stage can significantly add to the overall [...] | time taken for compilation
What is a code library? | A collection of pre-written, pre-compiled code (functions, classes, procedures, scripts) packaged together to allow developers to perform common tasks without writing code from scratch
A collection of pre-written, pre-compiled functions that developers can incorporate to avoid writing code from scratch — what is this? | A code library
What are standard libraries? | Libraries that come bundled with most programming languages, offering basic built-in functionalities
What are third-party libraries? | Libraries created by external developers, often shared through package managers
Name four benefits of using code libraries | Efficiency (saves development time), reliability (pre-tested and optimised), reusability (same library across multiple projects), and community support (documentation and help)
Name three drawbacks of using code libraries | Dependency issues (library may be discontinued), compatibility issues (version conflicts), and overhead (large library for a small task adds unnecessary complexity and file size)
Explain why libraries save programmers from having to 'reinvent the wheel' | Libraries provide specialised, pre-built functions (e.g. mathematical or graphical) that would otherwise require significant time and effort to develop and test from scratch
What is a linker? | Software that combines different object files and libraries into a single executable, resolving references and symbols between files
Software that combines object files and libraries into a single executable — what is this? | A linker
What is the difference between static linking and dynamic linking? | Static linking adds library code directly into the executable at compile time, increasing file size but not requiring the library at runtime. Dynamic linking stores addresses of libraries and loads them at runtime, keeping files small and allowing external updates to apply automatically.
What is a benefit of static linking? | A specific version of a library can be used, and the library does not need to be present at runtime. External updates will not unexpectedly change program behaviour.
What is a benefit of dynamic linking? | Files remain small, and external updates to libraries feed through automatically without needing to rewrite or recompile the code
What is a drawback of static linking? | It increases the size of the executable file, and library updates require recompilation
What is a drawback of dynamic linking? | The library must be present on the system at runtime. If the library is updated or removed, the program may break.
What is a loader? | A system tool provided by the operating system that loads executable files into memory so they can be run
A system tool that loads executable files into memory for execution — what is this? | A loader
How do linkers and loaders work together? | The linker combines object files and libraries into an executable. When the program is run, the loader retrieves it (and any dynamically linked libraries) from storage into memory so the OS can execute it.
Why are libraries described as pre-compiled? | They have already been translated into object code, so they are ready to be incorporated into other programs without needing to be compiled again
How does an interpreter differ from an assembler in terms of the code they translate? | An interpreter translates high-level language code. An assembler translates low-level assembly language code.
