What is the purpose of measuring physical quantities? | To find the true value of that quantity
What is the uncertainty in a reading of 1.6 mA from a milliammeter with smallest division 0.2 mA? | ±0.1 mA (half the smallest division)
How is the percentage uncertainty in the mean of repeated data calculated? | (Half the range / mean value) × 100%
What is an error bar on a graph? | A bar drawn above and below a plotted point (or side to side) showing the absolute uncertainty in that measurement
Error bars on a graph represent which type of uncertainty? | Absolute uncertainty
How do you determine the uncertainty in the gradient of a graph? | Draw a best line of best fit and a worst line of best fit, then calculate: percentage uncertainty = [(best gradient - worst gradient) / best gradient] × 100%
What is the 'worst' line of best fit? | The steepest possible or shallowest possible straight line that still fits within all the error bars
What is the formula for percentage uncertainty in the gradient from a graph? | Percentage uncertainty = [(best gradient - worst gradient) / best gradient] × 100%
What is the formula for percentage uncertainty in the y-intercept from a graph? | Percentage uncertainty = [(best y-intercept - worst y-intercept) / best y-intercept] × 100%
Why are two lines of best fit drawn when determining uncertainty from a graph? | The difference between the best and worst gradients (or y-intercepts) gives the uncertainty in those values
When drawing a graph for uncertainty analysis, what must the line of best fit do? | Pass as close to all the plotted points as possible, leaving roughly equal numbers of points above and below it
