What is the Data Protection Act (DPA)? | A law that protects personal data from being misused
How does CMA Offence 1 differ from CMA Offence 2? | Offence 1 is simply gaining unauthorised access to computer materials. Offence 2 involves gaining unauthorised access with the specific intent to commit a further crime, carrying harsher consequences
How does CMA Offence 2 differ from CMA Offence 3? | Offence 2 is unauthorised access with intent to commit further offences (planning). Offence 3 is actually carrying out the unauthorised modification of computer files (execution)
Which CMA offence carries the most severe consequences? | Offence 3 (unauthorised modification of computer files), with penalties increasing from Offence 1 through to Offence 3
What punishment can result from breaching the Computer Misuse Act? | Imprisonment (for all three offences)
Name two technical measures that can help prevent unauthorised access under the CMA | Digital signatures/certificates (to verify identity) and firewalls (to prevent external unauthorised access and DoS/DDoS attacks)
What is the Copyright, Designs and Patents Act 1988? | A law that protects the intellectual property of individuals and companies, making it illegal to copy, modify or distribute software or other intellectual property without permission
A law that protects intellectual property and makes it illegal to copy, modify or distribute work without permission — what is it called? | The Copyright, Designs and Patents Act 1988
When does copyright protection apply to an original work? | Automatically from the moment of creation — no registration is required
How long does copyright last? | 25 to 70 years after the death of the creator, depending on the type of work
In 1992, what was added to the Copyright, Designs and Patents Act? | Computer programs were included as a type of literary work, meaning copyright automatically applies to code
Whose responsibility is it to take action if their copyrighted work has been copied? | The individual copyright holder must take action themselves under the Act
Name three primary breaches of the Copyright, Designs and Patents Act | Copying an original work, issuing copies to the public, performing/showing/playing the work in public
Name three secondary breaches of the Copyright, Designs and Patents Act | Importing a copy of original work, possessing or dealing with a copy, providing means to make copies
How do primary breaches differ from secondary breaches under the Copyright, Designs and Patents Act? | Primary breaches involve directly infringing copyright (e.g. copying, distributing, performing the work). Secondary breaches involve facilitating or profiting from infringement (e.g. importing copies, providing equipment to make copies)
How does peer-to-peer streaming relate to the Copyright, Designs and Patents Act? | It can breach the act because it prevents copyright owners from receiving income from their work (e.g. sharing downloaded Netflix videos with others)
Why is it important to use the full name "Copyright, Designs and Patents Act" in exams? | OCR may not award marks if a shortened version like "Copyright Act" is used
What is the Regulation of Investigatory Powers Act 2000 (RIPA)? | A law that legislates how organisations can monitor electronic communications, covering investigation, surveillance and interception of communications by public bodies
A law that covers investigation, surveillance and interception of electronic communications by public bodies — what is it called? | The Regulation of Investigatory Powers Act 2000 (RIPA)
Under RIPA, what can organisations like MI6 legally do? | Wiretap online conversations in the interests of national security, provided a warrant has been issued
What does RIPA require of internet service providers (ISPs) and mobile phone companies? | They must give up customer information on request from an authorised authority, and ensure their networks have sufficient hardware to facilitate surveillance
Why is RIPA considered controversial? | Its powers extend to small agencies like local councils, some feel it is an invasion of privacy, and it has been used for purposes beyond monitoring criminal/terrorist activity (e.g. monitoring dog walkers, fly tippers, school catchment areas)
Give an example of RIPA being used controversially | Local councils used RIPA to carry out over 55,000 days of covert surveillance over 5 years, including monitoring people walking dogs, feeding pigeons and fly-tipping
What key technical terms should be used when describing RIPA in an exam? | "Surveillance" (the use of technology to gather information on people) and "communication" (done electronically)
How does RIPA impact businesses? | Businesses must provide access to digital communications or data when asked, and must implement hardware and software that facilitates storage of digital communications
Does RIPA allow mass surveillance of communications? | Yes, RIPA permits mass surveillance of communications by authorised public bodies
Can evidence obtained through RIPA interception be revealed in court? | No, RIPA prevents the existence of interception activities being revealed in court
How does the Data Protection Act differ from the Computer Misuse Act? | The DPA protects personal data from being misused by organisations that store it. The CMA protects computer systems from being accessed or modified without authorisation
How does the Copyright, Designs and Patents Act differ from the Computer Misuse Act? | The CDPA protects intellectual property (creative works, software) from being copied or distributed without permission. The CMA protects computer systems from unauthorised access, intent to commit offences, and unauthorised modification
How does the Data Protection Act differ from RIPA? | The DPA restricts how organisations collect, use and store personal data, protecting individual privacy. RIPA grants public bodies legal powers to monitor and intercept electronic communications, potentially overriding some individual privacy
Under RIPA, what must be obtained before surveillance can take place? | A warrant must be issued by an authorised authority
Which organisation has the most freedom under RIPA? | GCHQ is amongst those with the most freedom to conduct surveillance
What is the role of the Information Commissioner in relation to the DPA? | The Information Commissioner oversees compliance with data protection legislation, and data subjects can complain to them if they believe their rights have been violated
