What is the Accumulator (ACC)? | A special register that temporarily stores the results of operations performed by the ALU
A processor design using simple single-cycle instructions that enable pipelining but require more RAM — what is this called? | RISC (Reduced Instruction Set Computer)
How does CISC differ from RISC? | CISC uses complex multi-task instructions (less RAM, no pipelining). RISC uses simple single-cycle instructions (more RAM, supports pipelining).
Why can RISC processors use pipelining but CISC cannot? | RISC instructions each take one clock cycle and have uniform length, making it predictable to overlap stages. CISC instructions vary in complexity and length, making pipelining impractical.
What is a Graphics Processing Unit (GPU)? | A specialised processing unit with a huge number of small cores that allow efficient parallel computation for tasks such as graphics, machine learning, and data mining
A specialised processor with many small cores designed for efficient parallel computation — what is this called? | A Graphics Processing Unit (GPU)
What are multicore systems? | Systems where several CPU cores are incorporated into a single processor chip to help distribute workload
What is a parallel processing system? | A system that splits a job into several subtasks which are simultaneously carried out by each core
Splitting a job into subtasks executed simultaneously across multiple cores — what is this called? | Parallel processing
What is flash storage? | A solid state technology that stores data on a collection of memory chips with no moving parts, accessed by software
A solid state storage technology using memory chips with no moving parts — what is this called? | Flash storage
What are input devices? | Peripheral devices that allow the user to pass readable data into a computer, decode it, and send it to the CPU
Peripherals that convert user input into data the CPU can process — what are these called? | Input devices
What is magnetic storage? | Storage that relies on the polarisation of magnetic particles to store bits on a magnetic material, typically moved mechanically, offering high capacity at low cost
Storage using polarised magnetic particles on a mechanically moving medium, offering high capacity and low cost — what type of storage is this? | Magnetic storage
What is optical storage? | Storage where data is stored in the reflectivity (pits and lands) of a surface, read and written to by a laser
Storage that uses pits and lands on a reflective surface, read and written by a laser — what type is this? | Optical storage
What are output devices? | Peripheral devices that convert signals from a computer into a human-readable form
Peripherals that convert computer signals into human-readable form — what are these called? | Output devices
What is Random Access Memory (RAM)? | Volatile memory used to store programs and data currently in use, with quick access times but all data is lost when power is removed
Volatile memory that stores currently running programs and data, lost when powered off — what is this? | RAM (Random Access Memory)
What is Read-Only Memory (ROM)? | Non-volatile memory that stores information permanently required to boot up and run the computer, and cannot be written to
Non-volatile memory that permanently stores boot-up instructions and cannot be written to — what is this? | ROM (Read-Only Memory)
How does RAM differ from ROM? | RAM is volatile (loses data when powered off), writable, and stores programs currently in use. ROM is non-volatile (retains data without power), read-only, and stores permanent boot-up instructions.
What is a storage device? | Any medium on which data can be stored even when powered off
Any medium that retains data when powered off — what general term describes this? | A storage device
What is virtual storage? | Using the hard disk as though it were an extension of memory to free up more RAM for current programs
Using the hard disk as an extension of main memory to free up RAM — what is this called? | Virtual storage
How does flash storage differ from magnetic storage? | Flash storage uses memory chips with no moving parts (solid state), while magnetic storage uses mechanically moving magnetic material. Flash is faster but typically more expensive per unit of storage.
How does optical storage differ from magnetic storage? | Optical storage uses a laser to read pits and lands on a reflective surface. Magnetic storage uses polarised particles on a mechanically moving medium. Magnetic storage generally offers higher capacity.
Name the three types of bus in a computer system | Address bus, data bus, and control bus
Which bus is unidirectional: the address bus, data bus, or control bus? | The address bus (it only sends addresses from the CPU to memory)
