What is a network? | Two or more computers connected together with the ability to transmit data between each other.
Why are switches preferred over hubs? | Switches only send data to the intended device using a lookup table with MAC addresses, improving security and reducing unnecessary traffic.
What is a modem? | A device that modulates analogue carrier signals to encode digital information and demodulates signals to decode transmitted information.
What does a router do with incoming packets? | Analyses packet headers to determine destination IP address, looks up address in routing table, forwards packet to appropriate network.
What is a hop? | Each pass from router to router as a packet travels to its destination.
What are common types of network cables? | Ethernet cables (Cat5, Cat5e, Cat6) for wired networks, fibre-optic cables for higher speed and larger data capacity.
What is hacking? | Gaining unauthorised access to a system or network to steal/manipulate data, disrupt services, or cause damage.
What is a virus? | Malicious software that attaches to legitimate programs and replicates to spread, causing damage like deleting data.
What is a worm? | A standalone malicious program that can spread and replicate itself over networks, taking up storage or bandwidth.
What is a Trojan horse? | A program that disguises itself as legitimate but can delete data or damage hardware when installed.
What is spyware? | Software that records all key presses and transmits them to a third party.
What is ransomware? | Malware that encrypts user files and demands ransom payment to decrypt them.
What is a DoS attack? | Denial of Service - flooding a server with requests it can't respond to, causing it to crash or become unavailable.
What is a DDoS attack? | Distributed Denial of Service - similar to DoS but using multiple computers as bots to send requests.
What is SQL injection? | An attack technique where malicious SQL statements are inserted into entry fields to exploit website security vulnerabilities.
What is phishing? | Attempting to acquire sensitive information by masquerading as trustworthy in electronic communication, using fake emails and websites.
What is pharming? | A cyber attack that redirects website traffic to a bogus site through malware, encouraging users to enter personal details.
What is social engineering? | Manipulating individuals to gain access to confidential information or perform actions benefiting the attacker.
What are examples of social engineering? | Posing as someone else to gain trust, enticing victims with desirable items, leaving infected USB drives, posing as bank representatives.
What are network security methods? | Firewalls, secure passwords, anti-virus software, anti-spyware software, two-factor authentication, regular software updates, employee training.
What is two-factor authentication? | Adding an additional security layer by requiring two forms of identification - usually password plus a code sent to phone or email.
What are the main steps when typing a URL into a browser? | Computer checks local cache, sends DNS query, DNS resolver queries root/TLD/authoritative servers, receives IP address, browser requests webpage, server responds, browser renders page.
What is adware? | Software that displays unwanted advertisements, some containing spyware or linking to viruses when clicked.
