What is diffraction? | The spreading out of waves after they pass through a narrow gap or around an obstruction
What does a diffraction grating do to white light? | Separates it into its different wavelength components (spectra)
Why do diffraction gratings produce a sharper pattern than a double slit? | The bright fringes are narrower and brighter, while the dark regions are wider and darker
How do diffraction grating fringes compare to double slit fringes? | Diffraction grating fringes are narrower and brighter; dark regions are wider and darker
What is the diffraction grating equation? | d sin θ = nλ
In the equation d sin θ = nλ, what does n represent? | The order of the maxima (the number of the maxima away from the central, where n = 0)
In the equation d sin θ = nλ, what does d represent? | The distance between adjacent slits on the grating (in metres)
In the equation d sin θ = nλ, what does θ represent? | The angle of diffraction of the light of order n from the normal
In the equation d sin θ = nλ, what does λ represent? | The wavelength of the light from the source (in metres)
What determines the size of a diffraction grating? | The number of lines per millimetre (lines/mm) or lines per metre
How do you calculate the slit spacing d from the number of lines per unit length N? | d = 1/N
What is the symbol N in diffraction grating calculations? | The number of lines per millimetre (or per metre) on the diffraction grating
If a diffraction grating has 300 lines per mm, what is the slit spacing in mm? | d = 1/300 = 3.33 × 10⁻³ mm (or 3.33 × 10⁻⁶ m)
How is the angular separation of each maximum calculated? | By rearranging the grating equation to make θ the subject: sin θ = nλ/d
What happens to the angular separation as the order of maxima increases? | Angular separation increases
How do you find the angular separation between two adjacent orders of maxima? | Subtract the smaller angle from the larger one (e.g., θ₂ − θ₁)
What is the maximum angle of diffraction at which maxima can be observed? | θ = 90°, where sin θ = 1
What equation gives the highest order of maxima visible from a diffraction grating? | n = d/λ (with n rounded down to the nearest integer)
If n = d/λ gives a decimal value, how do you determine the highest visible order? | Round down to the nearest integer (e.g., if n = 2.7, the highest order visible is n = 2)
At the zeroth-order maximum of a diffraction grating, what is the path difference? | Zero
At the first-order maximum of a diffraction grating, what is the path difference? | One wavelength (λ)
At the nth-order maximum of a diffraction grating, what is the path difference? | nλ
How is the diffraction grating equation derived from the path difference? | The path difference at the nth maximum is nλ. Using trigonometry, sin θ = nλ/d, which rearranges to d sin θ = nλ
Regions of maximum intensity in a diffraction grating pattern correspond to what type of interference? | Constructive interference
Why are diffraction gratings useful for analysing light? | They separate light of different wavelengths with high resolution
Give three uses of diffraction gratings in spectrometers | Analyse the composition of a star, measure red shift/rotation of stars, measure the wavelength/frequency of light from a star
What is X-ray crystallography and how does it relate to diffraction? | X-rays are directed at a thin crystal sheet which acts as a diffraction grating, producing a diffraction pattern that can be used to measure atomic spacing in materials
Why do crystals act as diffraction gratings for X-rays? | Because the wavelength of X-rays is similar in size to the gaps between atoms in the crystal
What is a monochromator used for? | To specifically select and analyse a particular wavelength of light, such as one emitted by molecules in diseased cells from a biopsy sample
How do diffraction gratings differ from single slits in the pattern they produce? | Diffraction gratings produce much narrower, brighter maxima and wider, darker minima compared to the broad central maximum and dim subsidiary maxima of a single slit
How does a single slit pattern differ from a double slit pattern? | Single slit: wide central maximum with dimmer subsidiary maxima of decreasing intensity. Double slit: equally spaced fringes of equal intensity
Compare the effect of increasing wavelength vs decreasing slit width on a single slit diffraction pattern | Both produce wider fringes and a broader central maximum. Increasing wavelength increases diffraction angle; decreasing slit width also increases diffraction angle because the gap becomes closer to the wavelength
