What is a database? | An organised collection of data that allows easy storage, retrieval, and management of information
Electronic Data Interchange -- what does EDI stand for and what does it do? | Electronic Data Interchange: transfers documents and data between businesses electronically without human interaction
What is CSV as a data exchange format? | Comma Separated Values: a plain text format for tabular data where values are separated by commas
What is JSON? | JavaScript Object Notation: a lightweight, human-readable data interchange format using key-value pairs, common in web applications
What is an API in the context of data exchange? | Application Programming Interface: a set of protocols that allow different software applications to communicate and exchange data with each other
What does SQL stand for? | Structured Query Language
What type of language is SQL? | A declarative language used to manipulate and interact with databases
What does SELECT do in SQL? | Retrieves specified fields from a database table (use * to select all fields)
What does FROM do in SQL? | Specifies which table(s) the data should be retrieved from
What does WHERE do in SQL? | Filters results based on a specified condition
What does ORDER BY do in SQL? | Sorts results in ascending order by default; add DESC for descending order
What does LIKE do in SQL? | Filters data based on a pattern, used with the % wildcard (e.g. WHERE name LIKE 'J%' matches names starting with J)
What does the * wildcard mean in SQL? | Selects all columns/fields from a table
What does the % wildcard mean in SQL? | Used with LIKE to match any sequence of zero or more characters in a pattern
How do AND and OR differ in a SQL WHERE clause? | AND requires all conditions to be true; OR requires at least one condition to be true
What does JOIN (INNER JOIN) do in SQL? | Combines rows from two or more tables based on a related column between them, using the ON keyword to specify the matching fields
What is a nested SELECT in SQL? | A SELECT statement inside another SELECT, used to filter based on a derived value (e.g. WHERE salary > (SELECT AVG(salary) FROM employees))
What does CREATE TABLE do in SQL? | Creates a new table, specifying each attribute's name, data type, whether it is the primary key, and whether it allows NULL values
What three details must be specified for each attribute in CREATE TABLE? | Whether it is the primary key, its data type, and whether it must be filled in (NOT NULL)
What does ALTER TABLE do in SQL? | Adds, deletes, or modifies columns in an existing table (using ADD, DROP COLUMN, or MODIFY COLUMN)
What does INSERT INTO do in SQL? | Adds a new record into a table: INSERT INTO TableName (col1, col2) VALUES (val1, val2)
What does UPDATE do in SQL? | Modifies existing records: UPDATE TableName SET col1 = val1 WHERE condition
What does DELETE FROM do in SQL? | Removes specific records from a table based on a WHERE condition
What does DROP TABLE do in SQL? | Deletes an entire table and all its data from the database
What is CHAR(n) in SQL? | A fixed-length string data type that always stores exactly n characters
What is VARCHAR(n) in SQL? | A variable-length string data type with a maximum length of n characters
How does CHAR(n) differ from VARCHAR(n)? | CHAR(n) always uses exactly n characters of storage (padding shorter strings); VARCHAR(n) uses only as many as needed up to the maximum n
What is BOOLEAN in SQL? | A data type that stores TRUE or FALSE values
What is FLOAT in SQL? | A data type that stores numbers with a floating decimal point
What is referential integrity? | Ensuring that every foreign key value in a table matches an existing primary key value in the linked table, maintaining consistency between related tables
Ensuring every foreign key matches a valid primary key in another table -- what is this called? | Referential integrity
What happens if referential integrity is enforced and a primary key record is deleted? | The DBMS prevents the deletion or applies a cascade action (e.g. CASCADE deletes related records, SET NULL nullifies the foreign keys)
What is a transaction in database processing? | A sequence of database operations treated as a single unit of work that must either fully complete or not happen at all
What does ACID stand for? | Atomicity, Consistency, Isolation, Durability
What is atomicity in ACID? | A transaction must be processed in its entirety or not at all; if any part fails, the entire transaction is rolled back
What is consistency in ACID? | A transaction must maintain referential integrity rules, leaving the database in a valid consistent state
What is isolation in ACID? | Concurrent execution of transactions must produce the same result as if they were executed sequentially; intermediate states are not visible to other transactions
What is durability in ACID? | Once a transaction has been committed, it persists permanently regardless of subsequent system failures such as power cuts
What is record locking? | Preventing simultaneous write access to a record so that while one user is editing it, others cannot modify the same record, avoiding inconsistencies or lost updates
Preventing simultaneous access to a database record to avoid inconsistencies -- what is this called? | Record locking
What is deadlock in a database? | When two or more transactions each hold a lock on a record the other needs, so both wait indefinitely and no progress can be made
Two transactions each waiting for a lock held by the other, causing indefinite waiting -- what is this called? | Deadlock
Describe a scenario that causes deadlock | User 1 locks Record A and requests Record B. User 2 locks Record B and requests Record A. Both wait for the other to release their lock, so neither can proceed
What is data redundancy in the context of normalisation? | The same piece of data being unnecessarily stored in more than one place, leading to inconsistencies and wasted storage
What is redundancy in the context of transaction processing and data protection? | Having one or more copies of data stored in physically different locations so that if one copy is damaged, others remain unaffected and can be recovered
What is a shared lock (read lock)? | Allows multiple transactions to read a record simultaneously but prevents modifications until the lock is released
What is an exclusive lock (write lock)? | Allows only one transaction to access and modify a record, blocking all other transactions from reading or writing until released
