What is the AND logical operator? | A logical operator that returns TRUE (1) only if ALL inputs are TRUE (1)
How does a directed graph differ from an undirected graph? | In a directed graph, edges have a specific direction (one-way). In an undirected graph, edges are bidirectional — the order of the vertex pair does not matter
What are the association laws in Boolean algebra? | A AND (B AND C) = (A AND B) AND C, and A OR (B OR C) = (A OR B) OR C — grouping of operands does not affect the result
What is a Boolean expression? | A combination of Boolean variables and logical operators that evaluates to either TRUE or FALSE depending on the input
A combination of Boolean variables and logical operators that reduces to TRUE or FALSE — what is this? | Boolean expression
What is Boolean logic? | A type of algebra using logical operators where all values and expressions ultimately reduce to TRUE or FALSE
What are the commutation laws in Boolean algebra? | A AND B = B AND A, and A OR B = B OR A — the order of operands does not affect the result
State De Morgan's first law | NOT(A OR B) = (NOT A) AND (NOT B)
State De Morgan's second law | NOT(A AND B) = (NOT A) OR (NOT B)
NOT(A OR B) = (NOT A) AND (NOT B) — which law is this? | De Morgan's first law
NOT(A AND B) = (NOT A) OR (NOT B) — which law is this? | De Morgan's second law
How do De Morgan's two laws differ? | The first law breaks a negated OR into ANDed negations. The second law breaks a negated AND into ORed negations
What are the distribution laws in Boolean algebra? | A AND (B OR C) = (A AND B) OR (A AND C). Also: (A OR B) AND (C OR D) = (A AND C) OR (A AND D) OR (B AND C) OR (B AND D)
State the double negation law | NOT(NOT A) = A — negating a value twice returns the original value
What is a D-type flip-flop? | A sequential logic circuit used to store a single bit, with two stable states that can be switched using an input signal
A sequential logic circuit that stores one bit and has two stable states — what is this? | D-type flip-flop
What is a full adder? | A combination of two half adders that takes a carry-in bit and two input bits, and outputs their sum bit and a new carry-out bit
A circuit that adds two input bits plus a carry-in bit, producing a sum and carry-out — what is this? | Full adder
What is a half adder? | A combinational arithmetic circuit that adds two single-bit numbers and produces a sum bit (S) and a carry bit (C)
A combinational circuit that adds two bits and produces a sum bit and a carry bit — what is this? | Half adder
How does a full adder differ from a half adder? | A half adder adds two input bits and produces a sum and carry. A full adder adds two input bits plus a carry-in bit (using two half adders), producing a sum and carry-out
What are Karnaugh maps used for? | Simplifying Boolean expressions by redrawing the truth table and applying visual rules to obtain expressions with the minimum (or near-minimum) logical operators, as a sum of products
A method of simplifying Boolean expressions using a redrawn truth table and visual grouping rules to produce a sum of products — what is this? | Karnaugh map (K-map)
What are logic gate diagrams? | A graphical method of representing Boolean expressions using standard symbols for logic gates
