What is an input device? | A hardware component that allows users to put data and information into a computer system
Random Access Memory — a fast, volatile primary storage that holds data and programs currently in use — what is this? | RAM
What is ROM? | Read-Only Memory — a type of non-volatile primary storage that stores fixed data such as the BIOS/bootstrap routine, which cannot be modified after programming
Non-volatile primary storage that holds fixed instructions like the BIOS and cannot be modified — what is this? | ROM
What does RAM store? | Data and programs that the computer is currently using, such as open applications and files
What does ROM store? | The BIOS (Basic Input/Output System) or firmware used to start up the computer and initialise hardware components
Is RAM volatile or non-volatile? | Volatile — it loses its contents when the computer is turned off or power is lost
Is ROM volatile or non-volatile? | Non-volatile — it retains its contents even when the computer is turned off
Why is RAM described as "random access"? | Because the processor can access any part of RAM equally fast, regardless of the data's location in memory
Why is RAM important for system performance? | The more RAM a system has, the more data it can process simultaneously, leading to faster performance
Why is RAM not used for permanent file storage? | Because it is volatile — all data is lost when power is removed, so it only serves as temporary storage while the computer is running
Why is ROM useful for storing the bootstrap routine? | Because ROM is non-volatile (retains data without power) and read-only (prevents accidental modification), ensuring the startup instructions are always available and intact
What is the bootstrap routine? | A fixed sequence of instructions stored in ROM that starts up the computer and loads the operating system
Why do computers typically have much less RAM than secondary storage (e.g. 8 GB RAM vs 1 TB HDD)? | RAM is significantly more expensive per gigabyte than secondary storage
How does RAM differ from ROM in terms of read/write capability? | RAM can be both read from and written to by the processor. ROM can only be read from and cannot be modified
How do RAM and ROM differ from secondary storage in their role? | RAM and ROM are primary storage used by the operating system to run the computer (storing instructions and currently needed files). Secondary storage holds user data like images and documents long-term
What is the key difference between flash memory and magnetic storage in terms of moving parts? | Flash storage has no moving parts (data stored electronically in semiconductor cells). Magnetic storage typically has moving parts (spinning platters and actuating arms in HDDs)
How does optical storage compare to magnetic storage in terms of portability and capacity? | Optical discs are highly portable (thin and lightweight) but have lower storage capacity. Magnetic drives (HDDs) have high capacity but are less portable, especially internal drives
