What is application software? | Software designed to perform a specific task or tasks for the end-user
The stage of compilation where code is broken into tokens and a token table is produced — what is this called? | Lexical analysis
What is a token in compilation? | A small, meaningful unit in the code such as a keyword, identifier, operator, or separator
Name the four types of token identified during lexical analysis | Keywords (e.g. if, return), identifiers (e.g. variable names), operators (e.g. +, *), and separators (e.g. brackets, semicolons)
What is removed from source code during lexical analysis? | Whitespace and comments
What is a symbol table in the context of compilation? | A data structure that stores information about each token/identifier found during lexical analysis, such as its type and attributes
What happens during syntax analysis? | Tokens are checked against the grammar and rules of the programming language. Syntax errors are flagged, and an abstract syntax tree (AST) is produced.
The stage of compilation where tokens are checked against language rules and an AST is produced — what is this called? | Syntax analysis
What is an Abstract Syntax Tree (AST)? | A tree-based representation of the source code's structure, produced during syntax analysis and used for code generation
A tree-based representation of source code structure used during compilation — what is this? | An Abstract Syntax Tree (AST)
Give two examples of syntax errors that would be detected during syntax analysis | Mismatched parentheses and missing semicolons (also: undeclared variable types, incomplete brackets)
What is semantic analysis and when does it occur? | Semantic analysis detects logic mistakes within the program (e.g. multiple declarations, undeclared identifiers). It is carried out during the syntax analysis stage.
How does semantic analysis differ from syntax analysis? | Syntax analysis checks whether code follows the grammatical rules of the language. Semantic analysis checks for logical errors such as using undeclared variables or type mismatches.
What happens during code generation? | The AST is traversed to generate object code (machine code) that can be executed by the computer
What happens during the optimisation stage of compilation? | The code is modified to be more efficient (e.g. removing duplicate/redundant code) without changing its functionality, reducing memory usage and improving execution speed
Why is optimisation important in compilation? | It reduces the memory required and makes code faster to execute, improving overall program performance
Give one example of an optimisation action a compiler might perform | Removing duplicate code, such as including a function that appears twice in the source code only once in the object code
What risk is associated with excessive optimisation? | It may alter the way in which the program behaves, introducing unintended changes to functionality
What is a code library? | A collection of pre-written, pre-compiled code (functions, classes, procedures) packaged together to allow developers to perform common tasks without writing code from scratch
A collection of pre-written, pre-compiled functions that developers can incorporate into their programs — what is this? | A code library
What is the difference between standard libraries and third-party libraries? | Standard libraries come bundled with the programming language and offer basic functionalities. Third-party libraries are created by external developers and shared through package managers.
State three benefits of using code libraries | Saves development time (efficiency), often well-tested and reliable (reducing errors), and reusable across different projects
State three drawbacks of using code libraries | Dependency issues if the library is discontinued, compatibility issues between versions, and overhead if a large library is used for a small task
What is a linker? | Software that combines different object files and libraries into a single executable file, resolving references between them
Software that combines object files and libraries into a single executable — what is this? | A linker
What is a loader? | A system tool provided by the operating system that loads executable files into memory so they can be run
A program provided by the OS that loads executables into memory for execution — what is this? | A loader
What is static linking? | Libraries and modules are added directly into the main executable file at compile time, creating a larger file. External updates to the library will not affect the program.
What is dynamic linking? | Only the addresses of libraries and modules are included in the file. The loader retrieves them from memory at runtime. Files remain smaller and external updates feed through automatically.
How does static linking differ from dynamic linking? | Static linking copies library code directly into the executable (larger file, independent of external library updates). Dynamic linking stores only addresses to external libraries (smaller file, requires libraries at runtime, benefits from external updates).
State one advantage of static linking | A specific version of a library can be used, and the program is self-contained without needing external library files at runtime
State one advantage of dynamic linking | Executable files remain small, and external updates to libraries automatically feed through without needing to recompile
Why are libraries described as saving programmers from having to 'reinvent the wheel'? | Libraries provide specialised, pre-written functions (e.g. mathematical or graphical operations) that would otherwise require significant time and effort to develop and test from scratch
In which type of languages do interpreters and compilers work? | High-level languages
In which type of language does an assembler work? | Low-level language (assembly language)
Name three programming languages that typically use a compiler | C, C++, Swift (also Java)
Name three programming languages that typically use an interpreter | Python, JavaScript, Ruby (also PHP)
