What is an array? | An ordered, static set of elements that can only store one data type
Explain how to insert a value into a binary search tree | Compare the value to the current node: if smaller, move to the left child; if larger, move to the right child. Repeat until reaching a null pointer, then insert the value there
What is a hash table? | An associative array coupled with a hash function, where data is mapped to unique positions using the hash function
An associative array coupled with a hash function that maps keys to indices — what is this? | A hash table
What is the role of a hash function in a hash table? | To take a key as input and produce a hash value that maps the key to an index (position) in the hash table
What is a collision in a hash table? | When two different keys produce the same hash value, meaning they map to the same position
Two different keys producing the same hash value in a hash table — what is this called? | A collision
What is collision resolution? | The process of handling collisions by finding an alternative position for the data that cannot be placed at the hashed index
What is linear probing? | A collision resolution technique where the algorithm checks the next sequential positions (or at a fixed interval) until an empty slot is found
A collision resolution technique that checks subsequent positions until finding an empty slot — what is this? | Linear probing
What is chaining as a collision resolution method? | Using linked lists at each hash table position — when a collision occurs, the new item is added to the linked list at that index
A collision resolution method that uses linked lists at each hash table position — what is this? | Chaining
How does chaining store each data item? | As a node with three attributes: the key value, the data, and a pointer to the next node
Explain how data is retrieved from a hash table using linear probing | Hash the key to get the index, check if the key at that position matches. If not, check subsequent positions at the probing interval until the matching key is found or an empty slot is reached (meaning the data is not in the table)
Explain how data is retrieved from a hash table using chaining | Hash the key to get the index, follow the linked list at that index, compare keys at each node until the matching key is found or the end of the list is reached
What is the main advantage of a hash table for searching? | Data can be retrieved in constant time O(1) in the best case — no lengthy search is needed unless there are collisions
How are character-based keys hashed in a hash table? | Convert each character to its ASCII value, sum the values, then apply the MOD function with the table size to get the index
Why should hash tables always be designed with extra capacity? | To reduce the likelihood of collisions and maintain efficient performance — a full or near-full table leads to more collisions and slower operations
What is rehashing? | Creating a new (often larger) hash table and re-inserting all existing items using a modified hash function to improve performance when the table becomes too full or has too many collisions
Why might rehashing require modifying the hash function? | If the new table is larger, the function needs to generate a larger range of hash values to utilise the additional space
Why does linear probing reduce the efficiency of a hash table? | Items displaced by collisions are not at their hashed position, so retrieval requires checking multiple positions, degrading from O(1) towards O(n) in the worst case
In the worst case for chaining, what search must be performed? | A linear search through the linked list if all keys hash to the same value
How does a static data structure differ from a dynamic data structure? | A static structure has a fixed size that cannot change at runtime, while a dynamic structure can adapt its size as data is added or removed
A data structure with a fixed size that cannot change at runtime — what type is this? | A static data structure
A data structure that can grow or shrink in size during execution — what type is this? | A dynamic data structure
Give an example of a static data structure and a dynamic data structure | Static: array (or static stack/queue). Dynamic: linked list
What is a pointer? | An object that stores a memory address
When should you use an array instead of a list? | When you have a fixed-size collection and need random access to elements by index — arrays are efficient for indexed access but less efficient for insertion/removal in the middle
When should you use a list instead of an array? | When you need a dynamic collection that may change in size, requiring flexibility to add, remove, and modify elements
When should you use a record? | When you need to group related data with different attributes/fields as a single entity (e.g., a customer record with name, ID, address)
When should you use a tuple instead of a list? | When you need an ordered collection of values that should not be changed after creation (immutable data)
How does a graph differ from a tree? | A graph can have cycles and can be directed or undirected, while a tree has a hierarchical structure with parent-child relationships and no cycles
What is a priority queue? | A type of queue where each element has a priority, and elements with higher priority are dequeued before elements with lower priority, regardless of insertion order
What does peek() do on a queue? | Returns the value at the front of the queue without removing it
How does the expression tree relate to binary trees? | Expression trees use binary tree structures to represent algebraic and Boolean expressions, simplifying their processing
