What is the role of the CPU? | To process all data and execute instructions within the computer
How does a higher clock speed improve CPU performance? | The CPU can execute more instructions per second, so tasks are completed more quickly
What is a core in the context of a CPU? | An independent processing unit within the CPU, capable of running its own fetch-decode-execute cycle
A processing unit within the CPU that can run its own FDE cycle independently — what is this called? | A core
What is parallel processing? | Multiple cores carrying out different tasks simultaneously
Why is a dual-core processor not exactly twice as fast as a single-core processor? | Some time is spent organising and coordinating tasks between the cores, and some tasks cannot be split between cores
Why can some tasks not benefit from having more cores? | Some tasks are sequential and cannot be split between cores, so additional cores provide no speed improvement
What is cache memory? | A small amount of high-speed memory inside or very close to the CPU that stores frequently used data and instructions
High-speed memory close to the CPU that stores frequently used data and instructions — what is this called? | Cache memory
Why is cache faster to access than RAM? | It is physically closer to the CPU and uses faster memory technology
How does more cache improve CPU performance? | More frequently used data can be stored closer to the CPU, reducing the number of slower accesses to RAM
What are the three levels of cache, from fastest to slowest? | Level 1 (L1), Level 2 (L2), Level 3 (L3)
How does Level 1 cache differ from Level 3 cache? | L1 is the smallest and fastest, located within each core; L3 is the largest and slowest, typically on the motherboard
What is the typical capacity range of Level 1 cache? | 2-64 KB
What is the typical capacity range of Level 2 cache? | 256 KB - 2 MB
Where is Level 1 cache located relative to the cores? | Each core has its own dedicated Level 1 cache
Where is Level 2 cache located relative to the cores? | Shared between cores, slower and bigger than L1
What is pipelining? | The process of carrying out multiple instructions concurrently, with each at a different stage of the FDE cycle
The process where one instruction is fetched while the previous one is decoded and another is executed — what is this called? | Pipelining
In pipelining, what stages can occur simultaneously? | Fetching one instruction, decoding the previous instruction, and executing the one before that
How does pipelining improve processor performance? | It reduces latency by ensuring the CPU is not idle while waiting for the next instruction; all parts of the processor are utilised at any given time
What happens to the pipeline when a branch instruction occurs? | The pipeline is flushed (cleared), as the pre-fetched instructions may no longer be valid
What is instruction pipelining? | Separating the fetch, decode, and execute stages of an instruction so they can overlap with stages of other instructions
What is arithmetic pipelining? | Breaking down arithmetic operations and overlapping them as they are performed
What does computer architecture describe? | How a computer uses its components, instructions, buses, and memory to function
What are the two main types of computer architecture? | Von Neumann architecture and Harvard architecture
What is Von Neumann architecture? | An architecture using a single shared memory and a single set of buses for both data and instructions, with a single control unit
A computer architecture that uses shared memory and a single bus for both data and instructions — what is it called? | Von Neumann architecture
What is the stored program concept? | The idea that both program instructions and data are stored together in the same memory, which Von Neumann architecture is built upon
What is Harvard architecture? | An architecture with physically separate memory and separate buses for instructions and data
A computer architecture with separate memory stores and separate buses for data and instructions — what is it called? | Harvard architecture
How does Von Neumann architecture differ from Harvard architecture in terms of memory? | Von Neumann uses a single shared memory for both data and instructions; Harvard uses separate memory stores for data and instructions
How does Von Neumann architecture differ from Harvard architecture in terms of buses? | Von Neumann uses a single set of buses for both data and instructions; Harvard uses separate buses for each
Why can Harvard architecture fetch data and instructions simultaneously? | Because it has separate memory stores and separate buses for data and instructions, so one does not interfere with the other
What type of systems commonly use Harvard architecture? | Specialised embedded systems
What type of systems commonly use Von Neumann architecture? | Most modern general-purpose computers and microcontrollers
Name one advantage of Von Neumann architecture over Harvard | Cheaper to develop because the control unit is simpler to design; also programs can be optimised in size since data and instructions share memory
Name one advantage of Harvard architecture over Von Neumann | Faster execution because data and instructions can be fetched in parallel; also memories can be different sizes for more efficient use of space
Why is Harvard architecture useful when memories have different characteristics? | Instructions may be read-only while data may be read-write, and memory cell sizes and bus widths can be optimised independently for each type
What is contemporary processor architecture? | A combination of Harvard and Von Neumann: Von Neumann is used for main memory (shared data and instructions), while Harvard architecture divides cache into separate instruction cache and data cache
How do contemporary processors combine Von Neumann and Harvard architecture? | They use Von Neumann architecture for main memory (unified) but Harvard architecture at the cache level, with separate instruction and data caches
What is hyperthreading (virtual cores)? | A technique where a single physical core can act as two virtual cores, allowing it to process two threads simultaneously
What is out-of-order execution? | A technique where instructions can be executed before earlier ones if they are ready, rather than strictly in program order
What is superscalar processing? | A technique where multiple instructions can be executed simultaneously within a single clock cycle
What is a performance boosting mode? | A feature where the clock speed can be temporarily increased above its base frequency for a short-term performance boost
How does the MAR interact with the address bus? | The MAR holds the memory address, which is then sent across the address bus to locate data in RAM
How does the MDR interact with the data bus? | The MDR holds data that has arrived from or is about to be sent to RAM via the data bus
